シリアル,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,AVAILABLE_RATE,KAKO_CNT,先週からの順立装置在庫量の増加率,先週からの社内LTの増加率,先週からかんばん増加数,使用工程
0,019128GA010    ,2023,36,40.88333333,0.725,0.708333333,1.07,1,ＴＰ３４２フタナシ,1,2,3.64,50,1.517647059,3.542588235,16.65647059,石黒ゴム工業（株）,85,3.310830126,10.57974818,0.29,2.071006182,95.285,469.4,0,0,0,8.ファイナル後半
151,019128GA010    ,2023,37,40.16666667,0.733333333,0.683333333,1.07,1,ＴＰ３４２フタナシ,1,2,3.64,50,1.5,3.549347826,16.14043478,石黒ゴム工業（株）,92,3.317147501,10.72661215,0.29,2.048917128,90.551,445.7,-0.017529556,0.001908094,0.082352941,8.ファイナル後半
306,019128GA010    ,2023,38,36.76666667,0.616666667,0.65,1.07,1,ＴＰ３４２フタナシ,1,2,3.64,50,1.523809524,3.583333333,16.14547619,石黒ゴム工業（株）,84,3.348909657,9.815567508,0.29,1.966596801,94.16,430.5,-0.084647303,0.009575141,-0.086956522,8.ファイナル後半
450,019128GA010    ,2023,39,39.84166667,0.7,0.683333333,1.07,1,ＴＰ３４２フタナシ,1,2,3.64,50,1.423076923,2.525961538,14.47923077,石黒ゴム工業（株）,52,2.360711718,11.86052799,0.29,2.009758667,98.06,454.5,0.083635539,-0.295080501,-0.380952381,8.ファイナル後半
1,01912ECB010    ,2023,36,12.775,0.25,0.233333333,0.85,1,ＴＰ３３２フタナシ,1,2,3.64,300,1.483870968,3.754193548,5.518709677,石黒ゴム工業（株）,31,4.416698292,9.977813364,0.29,0.981702775,95.285,469.4,0,0,0,8.ファイナル後半
152,01912ECB010    ,2023,37,12.9,0.233333333,0.233333333,0.85,1,ＴＰ３３２フタナシ,1,2,3.64,300,1.466666667,3.608666667,5.328666667,石黒ゴム工業（株）,30,4.245490196,10.43477698,0.29,0.965168372,90.551,445.7,0.009784736,-0.03876382,-0.032258065,8.ファイナル後半
307,01912ECB010    ,2023,38,11.63333333,0.208333333,0.216666667,0.85,1,ＴＰ３３２フタナシ,1,2,3.64,300,1.5,3.608666667,5.469111111,石黒ゴム工業（株）,30,4.245490196,9.168524307,0.29,0.955389438,94.16,430.5,-0.098191214,2.22E-16,0,8.ファイナル後半
451,01912ECB010    ,2023,39,14.3,0.233333333,0.241666667,0.85,1,ＴＰ３３２フタナシ,1,2,3.64,300,1.5625,2.7675,4.398333333,石黒ゴム工業（株）,16,3.255882353,14.013929,0.29,0.870199554,98.06,454.5,0.229226361,-0.23309625,-0.466666667,8.ファイナル後半
2,01912ECB040    ,2023,36,29.35833333,0.708333333,0.7,0.25,1,ＴＰ３４２フタナシ,1,1,2.12,50,1,2.39372093,16.82162791,愛産樹脂工業（株）,86,9.574883721,5.593823781,0,1.262369298,95.285,469.4,0,0,0,8.ファイナル後半
153,01912ECB040    ,2023,37,26.675,0.766666667,0.675,0.25,1,ＴＰ３４２フタナシ,1,1,2.12,50,1,2.27344086,16.24408602,愛産樹脂工業（株）,93,9.093763441,5.263256717,0,1.195140742,90.551,445.7,-0.091399376,-0.050248159,0.081395349,8.ファイナル後半
