,品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数
0,019128GA010    ,2023,35,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5494505494505495,3.782967032967033,17.913684210526316,石黒ゴム工業（株）,91
1,019128GA010    ,2023,36,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5176470588235293,3.542588235294118,16.656470588235294,石黒ゴム工業（株）,85
2,019128GA010    ,2023,37,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5,3.549347826086956,16.140434782608697,石黒ゴム工業（株）,92
3,019128GA010    ,2023,38,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5238095238095237,3.5833333333333335,16.14547619047619,石黒ゴム工業（株）,84
4,019128GA010    ,2023,39,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.4230769230769231,2.525961538461538,14.479230769230771,石黒ゴム工業（株）,52
5,01912ECB010    ,2023,35,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.5172413793103448,4.0248275862068965,6.305555555555556,石黒ゴム工業（株）,29
6,01912ECB010    ,2023,36,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.4838709677419355,3.7541935483870965,5.518709677419356,石黒ゴム工業（株）,31
7,01912ECB010    ,2023,37,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.4666666666666666,3.6086666666666662,5.328666666666667,石黒ゴム工業（株）,30
8,01912ECB010    ,2023,38,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.5,3.6086666666666667,5.46911111111111,石黒ゴム工業（株）,30
9,01912ECB010    ,2023,39,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.5625,2.7675,4.398333333333333,石黒ゴム工業（株）,16
10,01912ECB040    ,2023,35,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.9406741573033703,18.907777777777778,愛産樹脂工業（株）,89
11,01912ECB040    ,2023,36,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.393720930232558,16.821627906976744,愛産樹脂工業（株）,86
12,01912ECB040    ,2023,37,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.2734408602150533,16.244086021505378,愛産樹脂工業（株）,93
13,01912ECB040    ,2023,38,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.407380952380952,16.00595238095238,愛産樹脂工業（株）,84
