,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX
0,019128GA010    ,2023,36,40.88333333333333,0.725,0.7083333333333334,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5176470588235293,3.542588235294118,16.656470588235294,石黒ゴム工業（株）,85,3.3108301264431006,10.579748178601754,0.29,2.0710061817087655
1,019128GA010    ,2023,37,40.166666666666664,0.7333333333333333,0.6833333333333333,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5,3.549347826086956,16.140434782608697,石黒ゴム工業（株）,92,3.317147501015847,10.726612153880495,0.29,2.0489171277688363
2,019128GA010    ,2023,38,36.766666666666666,0.6166666666666667,0.65,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5238095238095237,3.5833333333333335,16.14547619047619,石黒ゴム工業（株）,84,3.3489096573208723,9.815567507865417,0.29,1.966596801050938
3,019128GA010    ,2023,39,39.84166666666667,0.7,0.6833333333333333,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.4230769230769231,2.525961538461538,14.479230769230771,石黒ゴム工業（株）,52,2.3607117181883535,11.860527991861261,0.29,2.009758666916887
4,01912ECB010    ,2023,36,12.775,0.25,0.23333333333333334,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.4838709677419355,3.7541935483870965,5.518709677419356,石黒ゴム工業（株）,31,4.416698292220113,9.977813364185335,0.29,0.9817027749492132
5,01912ECB010    ,2023,37,12.9,0.23333333333333334,0.23333333333333334,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.4666666666666666,3.6086666666666662,5.328666666666667,石黒ゴム工業（株）,30,4.245490196078431,10.434776981583022,0.29,0.9651683717099936
6,01912ECB010    ,2023,38,11.633333333333333,0.20833333333333334,0.21666666666666667,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.5,3.6086666666666667,5.46911111111111,石黒ゴム工業（株）,30,4.245490196078432,9.16852430718532,0.29,0.9553894382677289
7,01912ECB010    ,2023,39,14.3,0.23333333333333334,0.24166666666666667,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.5625,2.7675,4.398333333333333,石黒ゴム工業（株）,16,3.2558823529411764,14.013928996093084,0.29,0.8701995540034463
8,01912ECB040    ,2023,36,29.358333333333334,0.7083333333333334,0.7,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.393720930232558,16.821627906976744,愛産樹脂工業（株）,86,9.574883720930233,5.593823781061971,0.0,1.2623692976105876
9,01912ECB040    ,2023,37,26.675,0.7666666666666667,0.675,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.2734408602150533,16.244086021505378,愛産樹脂工業（株）,93,9.093763440860213,5.263256717466685,0.0,1.1951407415274962
10,01912ECB040    ,2023,38,27.116666666666667,0.6916666666666667,0.6583333333333333,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.407380952380952,16.00595238095238,愛産樹脂工業（株）,84,9.629523809523809,5.43000448169656,0.0,1.2194799573366704
11,01912ECB040    ,2023,39,26.816666666666666,0.7833333333333333,0.6916666666666667,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,1.55734375,15.53375,愛産樹脂工業（株）,64,6.229375,5.533168404336022,0.0,1.2276666583397513
12,01912ECB060    ,2023,36,2.441666666666667,0.03333333333333333,0.041666666666666664,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,5.4275,1.006875,新光ゴム工業（株）,4,6.958333333333333,5.705870181716387,0.0,0.36102832467811463
13,01912ECB060    ,2023,37,1.6333333333333333,0.041666666666666664,0.03333333333333333,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,4.078,0.9390000000000001,新光ゴム工業（株）,5,5.228205128205128,4.092797928543089,0.0,0.32160157509567094
14,01912ECB060    ,2023,38,1.4705882352941178,0.049019607843137254,0.029411764705882353,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,4.147499999999999,0.740625,新光ゴム工業（株）,4,5.317307692307691,4.672010278422613,0.0,0.26984921510780485
15,01912ECB060    ,2023,39,1.349056603773585,0.0660377358490566,0.009433962264150943,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,2.5700000000000003,0.96875,新光ゴム工業（株）,2,3.294871794871795,3.2766460205506425,0.0,0.3141846551145703
16,1040043104R    ,2023,36,3.808333333333333,0.06666666666666667,0.06666666666666667,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.625,5.081428571428572,1.8337142857142854,（株）ギフ加藤製作所,8,6.7752380952380955,8.653504899414841,0.12,0.39415385115940776
17,1040043104R    ,2023,37,3.375,0.08333333333333333,0.06666666666666667,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.5,5.3028571428571425,1.4962857142857142,（株）ギフ加藤製作所,10,7.07047619047619,9.398271911399656,0.12,0.3301951244889112
18,1040043104R    ,2023,38,3.85,0.06666666666666667,0.06666666666666667,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.5,5.648571428571429,1.7882857142857145,（株）ギフ加藤製作所,8,7.531428571428571,8.970415934387814,0.12,0.38678023037868176
19,1040043104R    ,2023,39,4.308333333333334,0.08333333333333333,0.06666666666666667,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.5,3.7249999999999996,0.938,（株）ギフ加藤製作所,2,4.966666666666666,19.137941246150202,0.12,0.2192107527162025
20,1040052001Z    ,2023,36,2.725,0.07083333333333333,0.075,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,3.8461538461538463,3.0930769230769233,2.3626923076923076,（株）青山製作所,13,5.83599419448476,10.236792346510725,0.08,0.2535188176235196
