,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,AVAILABLE_RATE,KAKO_CNT
0,019128GA010    ,2023,36,40.88333333333333,0.725,0.7083333333333334,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5176470588235293,3.542588235294118,16.656470588235294,石黒ゴム工業（株）,85,3.3108301264431006,10.579748178601754,0.29,2.0710061817087655,95.285,469.4
1,01912ECB010    ,2023,36,12.775,0.25,0.23333333333333334,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.4838709677419355,3.7541935483870965,5.518709677419356,石黒ゴム工業（株）,31,4.416698292220113,9.977813364185335,0.29,0.9817027749492132,95.285,469.4
2,01912ECB040    ,2023,36,29.358333333333334,0.7083333333333334,0.7,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.393720930232558,16.821627906976744,愛産樹脂工業（株）,86,9.574883720930233,5.593823781061971,0.0,1.2623692976105876,95.285,469.4
3,01912ECB060    ,2023,36,2.441666666666667,0.03333333333333333,0.041666666666666664,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,5.4275,1.006875,新光ゴム工業（株）,4,6.958333333333333,5.705870181716387,0.0,0.36102832467811463,95.285,469.4
4,1040043104R    ,2023,36,3.808333333333333,0.06666666666666667,0.06666666666666667,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.625,5.081428571428572,1.8337142857142854,（株）ギフ加藤製作所,8,6.7752380952380955,8.653504899414841,0.12,0.39415385115940776,95.285,469.4
5,1040052001Z    ,2023,36,2.725,0.07083333333333333,0.075,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,3.8461538461538463,3.0930769230769233,2.3626923076923076,（株）青山製作所,13,5.83599419448476,10.236792346510725,0.08,0.2535188176235196,95.285,469.4
6,1040183011P    ,2023,36,1.0136986301369864,0.136986301369863,0.0136986301369863,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.25,1.5458333333333334,2.0500000000000003,（株）青山製作所,12,2.8626543209876543,4.388939082711731,0.08,0.20974062698035553,95.285,469.4
7,2030044001J    ,2023,36,1.4583333333333333,0.025,0.03333333333333333,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,2.0,3.26,1.010625,ＮＯＫ（株）,4,6.037037037037036,6.384962137174526,0.03,0.2101100876525152,95.285,469.4
8,2030045013L    ,2023,36,2.7416666666666667,0.058333333333333334,0.041666666666666664,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,4.652857142857143,1.1811428571428573,伊藤金属工業（株）,7,8.778975741239892,7.841885789998996,0.0,0.30187632335357734,95.285,469.4
9,2030052002N    ,2023,36,2.808333333333333,0.11666666666666667,0.11666666666666667,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.5,2.671875,2.695,（株）杉浦製作所,16,5.34375,10.11702121272163,0.12,0.24211291225376833,95.285,469.4
10,3040052001B    ,2023,36,3.23728813559322,0.3305084745762712,0.3220338983050847,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.3255813953488373,2.647857142857143,7.821333333333333,（株）青山製作所,43,5.092032967032967,3.6737120670742973,0.08,0.6030340066653045,95.285,469.4
11,33490ECB010    ,2023,36,53.675,3.625,3.8666666666666667,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.4765784114052953,1.215142857142857,92.23877551020408,マレリ（株）,491,1.4818815331010453,2.3655025308356494,0.23,1.0108889918432418,95.285,469.4
12,33490ECE010    ,2023,36,97.175,5.041666666666667,5.166666666666667,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.470948012232416,1.450183486238532,118.91093272171254,マレリ（株）,654,1.7903499830105334,3.32198491897897,0.23,1.414009908573673,95.285,469.4
13,34989ECB010    ,2023,36,3.1083333333333334,0.008333333333333333,0.025,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,15.04,0.468,（株）槌屋,1,18.5679012345679,19.94515883404772,0.0,0.15209670857868632,95.285,469.4
14,34989ECB020    ,2023,36,7.208333333333333,0.05,0.075,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,5.42125,1.81625,（株）槌屋,8,6.6929012345679,11.91831886945445,0.0,0.5213840501542544,95.285,469.4
15,34989ECB030    ,2023,36,3.683333333333333,0.025,0.03333333333333333,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,7.903333333333333,0.6076666666666667,（株）槌屋,3,9.879166666666666,18.202514088416446,0.0,0.1955001620996008,95.285,469.4
16,34989ECC010    ,2023,36,3.4916666666666667,0.008333333333333333,0.016666666666666666,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,22.700000000000003,0.3,（株）槌屋,1,29.102564102564106,34.951618284951614,0.0,0.09900769726357837,95.285,469.4
17,34989ECE020    ,2023,36,2.3,0.008333333333333333,0.025,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,9.4,0.494,（株）槌屋,1,11.463414634146343,13.981592928961348,0.0,0.1586174852651579,95.285,469.4
18,34989ECE030    ,2023,36,2.2083333333333335,0.008333333333333333,0.008333333333333333,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,23.630000000000003,0.252,（株）槌屋,1,29.5375,26.31599853822076,0.0,0.0830806473435099,95.285,469.4
19,35145ECB010    ,2023,36,6.35,0.15,0.15833333333333333,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,2.730555555555555,3.606666666666667,三共鋼業（株）,18,4.404121863799283,6.425651335051336,0.0,0.6217778118210945,95.285,469.4
20,35145ECE010    ,2023,36,7.066666666666666,0.2,0.19166666666666668,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,2.6354166666666665,4.801666666666667,三共鋼業（株）,24,4.054487179487179,5.371208800674947,0.0,0.6786415659503636,95.285,469.4
21,35145ECE020    ,2023,36,5.908333333333333,0.19166666666666668,0.20833333333333334,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.4615384615384617,2.1926923076923077,4.865384615384615,（株）浅賀井製作所,26,3.373372781065089,6.164269042220929,0.13,0.7749767707044211,95.285,469.4
22,35165ECE010    ,2023,36,6.616666666666666,0.08333333333333333,0.10833333333333334,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,4.215,2.341,（株）松尾製作所,10,6.69047619047619,12.789264491654116,0.0,0.43395620063378465,95.285,469.4
23,35174ECB010    ,2023,36,15.833333333333334,0.7333333333333333,0.775,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20.0,2.489795918367347,1.597755102040816,18.540306122448982,（株）浅賀井製作所,98,1.8365001172882944,4.33500126115477,0.13,1.5997963418884846,95.285,469.4
24,35174ECE010    ,2023,36,16.141666666666666,0.45,0.5,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40.0,2.5245901639344264,2.4591803278688524,11.795491803278688,（株）浅賀井製作所,61,2.8266440550216694,6.946500884707791,0.13,1.5394790813943364,95.285,469.4
25,35174ECE020    ,2023,36,9.525,0.20833333333333334,0.23333333333333334,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90.0,2.5925925925925926,2.7692592592592593,5.349794238683128,（株）浅賀井製作所,27,4.3956496178718405,9.037778211636079,0.13,0.8949782712899405,95.285,469.4
26,3519510A010    ,2023,36,2.7,0.016666666666666666,0.025,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600.0,2.0,6.995,0.6575,中庸スプリング（株）,2,11.103174603174603,24.589604061838305,0.1,0.10821110227910653,95.285,469.4
27,35195ECE010    ,2023,36,6.841666666666667,0.1,0.1,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,3.4149999999999996,2.1704166666666667,三共鋼業（株）,12,5.508064516129032,11.504512823818404,0.0,0.49636821738632225,95.285,469.4
28,35195TFG010    ,2023,36,5.783333333333333,0.09166666666666666,0.1,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,3.9599999999999995,2.3183333333333334,三共鋼業（株）,12,6.387096774193548,9.104409472783848,0.0,0.5012136242493713,95.285,469.4
29,35198ECE010    ,2023,36,5.958333333333333,0.1,0.1,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200.0,1.0,3.615,2.3908333333333336,サトープレス工業（株）,12,6.232758620689656,8.964595489868124,0.0,0.5192460702704438,95.285,469.4
30,35300ECB010    ,2023,36,118.98333333333333,2.691666666666667,2.933333333333333,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12.0,2.523936170212766,3.0633244680851064,69.78856382978724,アイシン精機（株）,376,3.3662906242693476,7.543856720389719,0.14,4.177723109873903,95.285,469.4
31,35312ECB010    ,2023,36,6.158333333333333,0.25,0.24166666666666667,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63.0,1.0,2.085,6.0,（株）旭工業所,30,3.5338983050847457,3.539272030651341,0.0,0.6258931874379392,95.285,469.4
32,35352ECB010    ,2023,36,1.675,0.025,0.025,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504.0,1.0,6.376666666666666,0.7632275132275131,五興商事（株）,3,9.963541666666666,7.389317787931307,0.0,0.20450005916342617,95.285,469.4
33,3539450A010    ,2023,36,2.511520737327189,0.027649769585253458,0.027649769585253458,0.71,3.0,サンボックスＣ３フタナシ,1.0,1.0,1.88,2000.0,1.0,5.63,0.89625,ミズショー（株）,4,7.929577464788733,9.730050896200174,0.0,0.23535695330737505,95.285,469.4
34,35409ECB010    ,2023,36,5.058333333333334,0.058333333333333334,0.075,0.66,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.26,200.0,1.0,2.9857142857142853,1.7707142857142857,サンコール（株）,7,4.523809523809523,8.762768812214834,0.0,0.47621204808228007,95.285,469.4
35,35441ECB010    ,2023,36,27.7,0.7416666666666667,0.7583333333333333,0.67,3.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,48.0,1.0,2.3641573033707863,17.594101123595507,（株）ニフコ,89,3.528592990105651,5.013985078853879,0.0,1.1793360940153672,95.285,469.4
36,35441TFA010    ,2023,36,6.258333333333334,0.13333333333333333,0.15,0.67,1.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,100.0,1.0,2.90875,3.768125,（株）ニフコ,16,4.341417910447761,5.289367490955781,0.0,0.6768766897274486,95.285,469.4
37,3548255A010    ,2023,36,6.025,0.05,0.06666666666666667,0.57,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,300.0,1.0,6.03,1.6905555555555558,サトープレス工業（株）,6,10.578947368421053,12.819845996354408,0.0,0.412814605942933,95.285,469.4
38,35501ECB010    ,2023,36,5.041666666666667,0.15833333333333333,0.15833333333333333,0.6,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.38,100.0,1.0,2.328421052631579,3.831578947368421,大橋鉄工（株）,19,3.8807017543859654,5.5286537691999875,0.0,0.5278230815313958,95.285,469.4
