,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,印刷～検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,回収かんばん数,社内LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,使用工程
36,019128GA010    ,2023,36,41.0,0.0,1.0,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.0,1.8499999999999999,0.31000000000000005,1.335,0.22999999999999954,2.1300000000000003,18.9,石黒ゴム工業（株）,62,1.9906542056074767,9.350483488414522,0.29,2.076424212355011,99.89500000000001,480.0,-0.16326530612244894,1.535714285714286,61.0,8.ファイナル後半
169,019128GA010    ,2023,37,40.0,0.0,1.0,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5,1.8499999999999999,0.28,2.4400000000000004,0.2350000000000001,3.64,16.92,石黒ゴム工業（株）,90,3.4018691588785046,10.18994049074753,0.29,2.0517091760196626,99.44,462.0,-0.024390243902439046,0.708920187793427,0.4516129032258065,8.ファイナル後半
310,019128GA010    ,2023,38,37.0,0.0,1.0,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.0,1.8499999999999999,0.29000000000000026,2.66,0.25,3.51,17.54,石黒ゴム工業（株）,87,3.2803738317757007,9.092517595250264,0.29,1.9744371653077162,99.905,450.0,-0.07499999999999996,-0.03571428571428581,-0.033333333333333326,8.ファイナル後半
458,019128GA010    ,2023,39,40.0,0.0,1.0,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,2.0,1.8499999999999999,0.3450000000000002,2.625,0.22000000000000064,3.575,17.56,石黒ゴム工業（株）,92,3.3411214953271027,9.818553138009582,0.29,2.0537514886008124,99.955,464.0,0.08108108108108114,0.0185185185185186,0.05747126436781613,8.ファイナル後半
37,01912ECB010    ,2023,36,13.0,0.0,0.0,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.0,3.27,0.30000000000000004,2.59,0.2999999999999998,3.23,6.3,石黒ゴム工業（株）,22,3.8000000000000003,8.894362342638203,0.29,1.051834199823698,99.89500000000001,480.0,0.0,0.0,0.0,8.ファイナル後半
170,01912ECB010    ,2023,37,13.0,0.0,0.0,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.0,1.8499999999999999,0.2500000000000002,2.62,0.25,3.41,5.633333333333334,石黒ゴム工業（株）,31,4.011764705882353,9.946949602122013,0.29,0.9965287885529663,99.44,462.0,0.0,0.05572755417956654,0.40909090909090917,8.ファイナル後半
311,01912ECB010    ,2023,38,12.0,0.0,0.0,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.0,1.8499999999999999,0.30999999999999983,2.4399999999999995,0.27000000000000046,3.67,5.846666666666667,石黒ゴム工業（株）,29,4.317647058823529,8.846773876459716,0.29,0.9948235564019452,99.905,450.0,-0.07692307692307687,0.07624633431085037,-0.06451612903225812,8.ファイナル後半
459,01912ECB010    ,2023,39,14.0,0.0,0.0,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,2.0,1.8499999999999999,0.3899999999999999,2.55,0.27999999999999936,3.44,5.8533333333333335,石黒ゴム工業（株）,31,4.047058823529412,10.309480794910058,0.29,1.034828320301403,99.955,464.0,0.16666666666666674,-0.06267029972752047,0.06896551724137923,8.ファイナル後半
38,01912ECB040    ,2023,36,30.5,0.0,1.0,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.1799999999999997,0.009999999999999787,1.83,0.21999999999999975,2.0999999999999996,18.9,愛産樹脂工業（株）,77,8.399999999999999,5.172296838963506,0.0,1.2191564978554115,99.89500000000001,480.0,0.0,0.0,0.0,8.ファイナル後半
171,01912ECB040    ,2023,37,26.0,0.0,1.0,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.17,0.0,1.2800000000000002,0.2200000000000002,1.5200000000000005,16.92,愛産樹脂工業（株）,91,6.080000000000002,4.925137903861307,0.0,1.1458217789763478,99.44,462.0,-0.14754098360655743,-0.2761904761904759,0.18181818181818188,8.ファイナル後半
312,01912ECB040    ,2023,38,27.0,0.0,1.0,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.2300000000000004,-0.040000000000000036,1.8499999999999996,0.23000000000000043,2.2699999999999996,17.54,愛産樹脂工業（株）,87,9.079999999999998,4.933777738794841,0.0,1.1562784033159788,99.905,450.0,0.03846153846153855,0.4934210526315783,-0.04395604395604391,8.ファイナル後半
460,01912ECB040    ,2023,39,26.5,0.0,1.0,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.165,0.0,1.81,0.22999999999999998,2.08,17.56,愛産樹脂工業（株）,90,8.32,4.836896209333567,0.0,1.1385657646616323,99.955,464.0,-0.01851851851851849,-0.08370044052863412,0.034482758620689724,8.ファイナル後半
39,01912ECB060    ,2023,36,3.0,0.0,0.0,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,5.29,-0.009999999999999787,0.7299999999999995,1.6600000000000001,2.38,1.0425,新光ゴム工業（株）,1,3.051282051282051,6.771053745239103,0.0,0.3814038301291957,99.89500000000001,480.0,0.0,0.0,0.0,8.ファイナル後半
172,01912ECB060    ,2023,37,2.0,0.0,0.0,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,5.29,0.0,2.5599999999999996,1.3599999999999994,5.99,0.93,新光ゴム工業（株）,5,7.67948717948718,5.060088551549652,0.0,0.33131295646886194,99.44,462.0,-0.33333333333333337,1.516806722689076,4.0,8.ファイナル後半
313,01912ECB060    ,2023,38,1.0,0.0,0.0,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,5.28,-0.04999999999999982,1.63,1.5899999999999999,5.01,0.945,新光ゴム工業（株）,5,6.4230769230769225,2.4898848428260196,0.0,0.2871801481382103,99.905,450.0,-0.5,-0.1636060100166945,0.0,8.ファイナル後半
461,01912ECB060    ,2023,39,1.0,0.0,0.0,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,5.279999999999999,-0.030000000000000027,1.2850000000000001,1.7999999999999998,3.5,1.00875,新光ゴム工業（株）,4,4.487179487179487,2.332531525621401,0.0,0.29483574330476525,99.955,464.0,0.0,-0.3013972055888223,-0.19999999999999996,8.ファイナル後半
40,1040043104R    ,2023,36,4.0,0.0,0.0,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.0,1.92,0.43000000000000016,1.2700000000000005,1.31,3.22,1.89,（株）ギフ加藤製作所,3,4.293333333333334,8.818342151675484,0.12,0.4057683150587009,99.89500000000001,480.0,0.0,0.0,0.0,2.MGケース
173,1040043104R    ,2023,37,3.0,0.0,0.0,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.0,1.9100000000000001,0.4399999999999995,2.4300000000000006,1.4399999999999995,5.26,1.692,（株）ギフ加藤製作所,7,7.013333333333333,7.387706855791962,0.12,0.36065031646567924,99.44,462.0,-0.25,0.6335403726708073,1.3333333333333335,2.MGケース
314,1040043104R    ,2023,38,4.0,0.0,0.0,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.5,1.815,0.43000000000000005,3.835,1.6149999999999998,6.055,1.756,（株）ギフ加藤製作所,6,8.073333333333332,9.491268033409265,0.12,0.38251639821223393,99.905,450.0,0.33333333333333326,0.15114068441064643,-0.1428571428571429,2.MGケース
462,1040043104R    ,2023,39,5.0,0.0,0.0,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.0,2.83,0.41000000000000014,2.525,1.4899999999999998,5.43,1.815,（株）ギフ加藤製作所,8,7.239999999999999,11.47842056932966,0.12,0.40074793769830513,99.955,464.0,0.25,-0.10322047894302233,0.33333333333333326,2.MGケース
41,1040052001Z    ,2023,36,3.0,0.0,0.0,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,3.5,0.9349999999999999,0.29500000000000004,1.4200000000000002,0.4500000000000002,2.33,2.645,（株）青山製作所,10,4.39622641509434,10.067001487679109,0.08,0.28195263951989236,99.89500000000001,480.0,0.0,0.0,0.0,2.MGケース
174,1040052001Z    ,2023,37,3.0,0.0,0.0,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,4.0,0.9199999999999999,0.31000000000000005,2.02,0.79,3.74,2.37,（株）青山製作所,13,7.056603773584905,11.235113474646095,0.08,0.25534928070228047,99.44,462.0,0.0,0.6051502145922747,0.30000000000000004,2.MGケース
315,1040052001Z    ,2023,38,3.0,0.0,0.0,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,2.0,0.8999999999999999,0.17499999999999993,1.68,0.6749999999999998,3.0150000000000006,2.495,（株）青山製作所,12,5.688679245283019,10.672232038040578,0.08,0.26755100308339497,99.905,450.0,0.0,-0.19385026737967903,-0.07692307692307687,2.MGケース
463,1040052001Z    ,2023,39,3.0,0.0,0.0,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,4.0,0.905,0.20499999999999996,1.9899999999999998,0.7049999999999996,3.09,2.455,（株）青山製作所,10,5.830188679245283,10.846117692428203,0.08,0.2636659290452918,99.955,464.0,0.0,0.02487562189054704,-0.16666666666666663,2.MGケース
42,1040183011P    ,2023,36,1.0,0.0,0.0,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.0,0.9099999999999999,0.16000000000000003,0.2749999999999999,0.795,1.19,2.466,（株）青山製作所,12,2.2037037037037033,3.599245598122634,0.08,0.24192306006111997,99.89500000000001,480.0,0.0,0.0,0.0,8.ファイナル後半
175,1040183011P    ,2023,37,1.0,0.0,0.0,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.0,0.905,0.17499999999999993,0.19999999999999984,0.7249999999999996,1.1600000000000001,2.232,（株）青山製作所,12,2.1481481481481484,3.9765858624419415,0.08,0.22420590326083456,99.44,462.0,0.0,-0.025210084033613245,0.0,8.ファイナル後半
316,1040183011P    ,2023,38,1.0,0.0,0.0,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.0,0.8900000000000001,0.21999999999999997,0.55,0.55,1.34,2.268,（株）青山製作所,11,2.4814814814814814,3.913465451926991,0.08,0.2270216901999881,99.905,450.0,0.0,0.15517241379310343,-0.08333333333333337,8.ファイナル後半
464,1040183011P    ,2023,39,2.0,0.0,0.0,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,4.0,0.915,0.2250000000000001,0.6799999999999998,0.4500000000000002,1.31,2.4210000000000003,（株）青山製作所,12,2.425925925925926,7.332292147848339,0.08,0.2545551969053771,99.955,464.0,1.0,-0.022388059701492602,0.09090909090909083,8.ファイナル後半
