,品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,印刷～検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,回収かんばん数
0,019128GA010    ,2023,35,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.0,1.8499999999999999,0.5599999999999998,0.07000000000000028,0.20999999999999996,0.8400000000000001,0.0,石黒ゴム工業（株）,1
1,019128GA010    ,2023,36,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.0,1.8499999999999999,0.31000000000000005,1.335,0.22999999999999954,2.1300000000000003,18.9,石黒ゴム工業（株）,62
2,019128GA010    ,2023,37,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5,1.8499999999999999,0.28,2.4400000000000004,0.2350000000000001,3.64,16.92,石黒ゴム工業（株）,90
3,019128GA010    ,2023,38,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.0,1.8499999999999999,0.29000000000000026,2.66,0.25,3.51,17.54,石黒ゴム工業（株）,87
4,019128GA010    ,2023,39,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,2.0,1.8499999999999999,0.3450000000000002,2.625,0.22000000000000064,3.575,17.56,石黒ゴム工業（株）,92
5,01912ECB010    ,2023,36,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.0,3.27,0.30000000000000004,2.59,0.2999999999999998,3.23,6.3,石黒ゴム工業（株）,22
6,01912ECB010    ,2023,37,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.0,1.8499999999999999,0.2500000000000002,2.62,0.25,3.41,5.633333333333334,石黒ゴム工業（株）,31
7,01912ECB010    ,2023,38,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.0,1.8499999999999999,0.30999999999999983,2.4399999999999995,0.27000000000000046,3.67,5.846666666666667,石黒ゴム工業（株）,29
8,01912ECB010    ,2023,39,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,2.0,1.8499999999999999,0.3899999999999999,2.55,0.27999999999999936,3.44,5.8533333333333335,石黒ゴム工業（株）,31
9,01912ECB040    ,2023,36,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.1799999999999997,0.009999999999999787,1.83,0.21999999999999975,2.0999999999999996,18.9,愛産樹脂工業（株）,77
10,01912ECB040    ,2023,37,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.17,0.0,1.2800000000000002,0.2200000000000002,1.5200000000000005,16.92,愛産樹脂工業（株）,91
11,01912ECB040    ,2023,38,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.2300000000000004,-0.040000000000000036,1.8499999999999996,0.23000000000000043,2.2699999999999996,17.54,愛産樹脂工業（株）,87
12,01912ECB040    ,2023,39,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.165,0.0,1.81,0.22999999999999998,2.08,17.56,愛産樹脂工業（株）,90
13,01912ECB060    ,2023,36,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,5.29,-0.009999999999999787,0.7299999999999995,1.6600000000000001,2.38,1.0425,新光ゴム工業（株）,1
14,01912ECB060    ,2023,37,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,5.29,0.0,2.5599999999999996,1.3599999999999994,5.99,0.93,新光ゴム工業（株）,5
15,01912ECB060    ,2023,38,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,5.28,-0.04999999999999982,1.63,1.5899999999999999,5.01,0.945,新光ゴム工業（株）,5
16,01912ECB060    ,2023,39,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,5.279999999999999,-0.030000000000000027,1.2850000000000001,1.7999999999999998,3.5,1.00875,新光ゴム工業（株）,4
17,1040043104R    ,2023,36,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.0,1.92,0.43000000000000016,1.2700000000000005,1.31,3.22,1.89,（株）ギフ加藤製作所,3
18,1040043104R    ,2023,37,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.0,1.9100000000000001,0.4399999999999995,2.4300000000000006,1.4399999999999995,5.26,1.692,（株）ギフ加藤製作所,7
19,1040043104R    ,2023,38,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.5,1.815,0.43000000000000005,3.835,1.6149999999999998,6.055,1.756,（株）ギフ加藤製作所,6
20,1040043104R    ,2023,39,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.0,2.83,0.41000000000000014,2.525,1.4899999999999998,5.43,1.815,（株）ギフ加藤製作所,8
21,1040052001Z    ,2023,36,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,3.5,0.9349999999999999,0.29500000000000004,1.4200000000000002,0.4500000000000002,2.33,2.645,（株）青山製作所,10
22,1040052001Z    ,2023,37,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,4.0,0.9199999999999999,0.31000000000000005,2.02,0.79,3.74,2.37,（株）青山製作所,13
23,1040052001Z    ,2023,38,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,2.0,0.8999999999999999,0.17499999999999993,1.68,0.6749999999999998,3.0150000000000006,2.495,（株）青山製作所,12
24,1040052001Z    ,2023,39,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,4.0,0.905,0.20499999999999996,1.9899999999999998,0.7049999999999996,3.09,2.455,（株）青山製作所,10
25,1040183011P    ,2023,36,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.0,0.9099999999999999,0.16000000000000003,0.2749999999999999,0.795,1.19,2.466,（株）青山製作所,12
26,1040183011P    ,2023,37,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.0,0.905,0.17499999999999993,0.19999999999999984,0.7249999999999996,1.1600000000000001,2.232,（株）青山製作所,12
27,1040183011P    ,2023,38,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.0,0.8900000000000001,0.21999999999999997,0.55,0.55,1.34,2.268,（株）青山製作所,11
