="タイトル：かんばん手配品番一覧"

="ダウンロード日時：2023/07/12 13:19:36"

="手配担当工場：＜第１＞；手配担当整備室：＜第１工場＞；発注区分：＜かんばん＞；手配区分：＜仕入先手配：指定あり；仕入先直送：指定あり；仕入先支給：指定なし；他工場手配：指定なし；受給手配：指定なし；＞;品番上位桁：＜＞；仕入先ｺｰﾄﾞ：＜＞；"

="検索件数：＜  161＞；"
="IX000 処理が正常に完了しました；"

="品番",="加工図符号",="類別",="品名",="整備室",="整備室名",="手配区分",="工程内外製",="工程ｺｰﾄﾞ",="仕入先名/工場名",="発送場所",="発送場所名",="受給区分",="資材区分",="後工程内外製",="後工程ｺｰﾄﾞ",="後工程仕入先名/工場名",="受入場所",="受入場所名",="中継区分",="中継工場",="中継場所",="中継場所名","納入ｻｲｸﾙ.間隔","納入ｻｲｸﾙ.回数","納入ｻｲｸﾙ.情報","基準在庫.日数","基準在庫.枚数","MIN在庫日数","MAX在庫日数","便平均上限振れ率","便平均下限振れ率",="かんばん情報.仕入先",="かんばん情報.仕入先名",="かんばん情報.背番号",="かんばん情報.工場置場所",="かんばん情報.拠点置場所",="かんばん情報.品名略ｺｰﾄﾞ",="かんばん情報.品名略名",="かんばん情報.通箱ｺｰﾄﾞ",="かんばん情報.通箱名","かんばん情報.収容数",="かんばん情報.ｺﾝﾍﾞｱ区分",="かんばん情報.ﾌﾞﾛｯｸ区分",="かんばん情報.専用品区分",="かんばん情報.不良率","かんばん情報.保証率",="かんばん情報.設変符号",="かんばん情報.部品大別区分",="かんばん情報.部品大別名称",="かんばん情報.発注形態区分",="かんばん情報.発注形態名称",="かんばん情報.PLコード",="登録箱種",="縦(mm)",="横(mm)",="高(mm)",="容積(m3)",="総重量(Kg)",="パレタイズ発注",="箱数",="設定計画NO",="設定日",="設定担当部署コード",="担当部署名",="設定担当者コード",="担当者名"
="0355 183 043P",="",="","BOLT, FLANGE",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 2.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="501",="V-T-1-4",="20106",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="014",="TP-331 ﾊﾝﾖｳ","   2000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   6.830",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="1040 052 001Z",="",="","PLUG, W/HEAD STRAIGHT SCREW",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 2.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="125",="F-T-1-6",="10017",="0521",="ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-",="012",="TP-131 ﾊﾝﾖｳ","    200",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP131",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.270",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="1040 183 004C",="",="","BOLT, FLANGE",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 2.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="132",="M-T-12-3",="20086",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="014",="TP-331 ﾊﾝﾖｳ","   2000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  12.030",="しない",="",="MASTER01",="2023/05/26",="NE00",="１工工務Ｇ",="41943",="伊藤　真和"
="1040 183 017V",="",="","BOLT, FLANGE",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 2.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="134",="V-T-1-3",="20088",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="014",="TP-331 ﾊﾝﾖｳ","   2000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   9.630",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="2030 183 013A",="",="","BOLT, FLANGE",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 2.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="133",="M-T-12-4",="10087",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="012",="TP-131 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP131",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   5.450",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="3040 052 001B",="",="","PLUG, W/HEAD STRAIGHT SCREW",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.45"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="999",="F-T-1-1",="20506",="0521",="ﾌﾟﾗｸﾞ ｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-",="014",="TP-331 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  11.970",="しない",="",="MASTER01",="2023/05/26",="NE00",="１工工務Ｇ",="41943",="伊藤　真和"
="90105-08A014",="",="","BOLT, FLANGE",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 8.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="128",="F-T-1-7",="20073",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="014",="TP-331 ﾊﾝﾖｳ","    500",="",="",="",="50"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   8.830",="しない",="",="MASTER01",="2023/05/26",="NE00",="１工工務Ｇ",="41943",="伊藤　真和"
="90105-12A017",="",="","BOLT, FLANGE",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 2.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="131",="M-T-13-4",="20082",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="014",="TP-331 ﾊﾝﾖｳ","    450",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  10.050",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="90110-06031",="",="","BOLT, HEXAGON SOCKET HEAD CAP",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 2.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="127",="M-T-11-2",="20020",="1845","ﾎﾞﾙﾄ,ﾍｷｻｺﾞﾝｿｹｯﾄﾍｯﾄﾞｷｬｯﾌﾟ",="014",="TP-331 ﾊﾝﾖｳ","   1000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   7.930",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="90119-06A059",="",="","BOLT, W/WASHER",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 2.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="136",="M-T-13-1",="20110",="1835",="ﾎﾞﾙﾄｳｲｽﾞﾜﾂｼﾔ",="014",="TP-331 ﾊﾝﾖｳ","   1500",="",="",="1",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  11.330",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
