,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）日量数平均,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）日量数平均,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,変更前）基準在庫日数,変更後）基準在庫日数
0,019128GA010,0.0,0.0,0.0,7.8431372549019605,7.8431372549019605,5.88235294117647,35.294117647058826,39.21568627450981,3.9215686274509802,0.0,0.0,0.0,2.272727272727273,15.909090909090908,20.454545454545457,34.090909090909086,11.363636363636363,15.909090909090908,0.0,0.0,0.0,-5.570409982174688,8.065953654188949,14.572192513368986,-1.2032085561497396,-27.852049910873443,11.987522281639928,"CAP, SHIPPING",50.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP342ﾌﾀﾅｼ,0.033,2.11,手配,51.0,44.0,2.41,1.835,-0.5750000000000002,1.225557650608089,1.1844423493919112,1.139749973,0.6952500269999999,968.2,106.5974,116.2794,945.4,102.15780000000001,111.61180000000002,1.07,1.07
1,01912ECB010,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,12.5,18.75,31.25,37.5,0.0,0.0,0.0,0.0,0.0,12.5,-24.107142857142854,-25.89285714285714,37.5,"CAP, SHIPPING",300.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,3.21,手配,14.0,16.0,3.215,2.745,-0.46999999999999975,1.5367609618104667,1.6782390381895331,1.059294837,1.6857051630000002,1934.8,30.40966666666667,33.63433333333334,1890.8,27.78633333333333,30.937666666666665,1.07,0.85
2,01912ECB040,0.0,2.7027027027027026,8.108108108108109,9.45945945945946,13.513513513513514,10.81081081081081,36.486486486486484,18.91891891891892,0.0,0.0,0.0,0.0,0.0,1.694915254237288,3.389830508474576,15.254237288135593,16.94915254237288,62.71186440677966,0.0,-2.7027027027027026,-8.108108108108109,-9.45945945945946,-11.818598259276225,-7.420980302336234,-21.232249198350893,-1.9697663765460405,62.71186440677966,"CAP, SHIPPING",50.0,愛産樹脂工業（株）,1.0,1.0,2.12,1Y,TP342ﾌﾀﾅｼ,0.033,3.44,手配,74.0,59.0,1.3299999999999996,1.36,0.03000000000000047,0.825557650608089,0.5044423493919106,0.319749973,1.0402500270000001,968.2,27.205,46.569,945.4,24.635,43.543000000000006,0.67,0.25
3,01912ECB060,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,"CAP, SHIPPING",400.0,新光ゴム工業（株）,1.0,1.0,3.25,1Y,TP331ﾌﾀﾅｼ,0.012,2.04,手配,1.0,1.0,4.62,2.38,-2.24,3.632512155591572,0.9874878444084283,2.048602098,0.33139790199999997,424.8,7.1418,8.2038,413.4,5.0306500000000005,6.064150000000001,0.78,0.78
4,1040043104R,0.0,0.0,0.0,25.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-25.0,0.0,0.0,0.0,0.0,"PIN, STRAIGHT",1000.0,（株）ギフ加藤製作所,1.0,2.0,3.8,1Y,AW131ﾌﾀﾅｼ,0.005,13.4,手配,4.0,2.0,2.8149999999999995,2.685,-0.12999999999999945,2.45557650608089,0.35942349391910966,2.440095504,0.2449044960000002,1936.4,10.2615,11.2297,1890.8,10.0905,11.0359,0.9,0.75
5,1040052001Z,0.0,14.285714285714285,0.0,28.57142857142857,0.0,0.0,42.857142857142854,14.285714285714285,0.0,0.0,14.285714285714285,14.285714285714285,14.285714285714285,28.57142857142857,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,14.285714285714285,-14.285714285714285,28.57142857142857,14.285714285714285,-28.57142857142857,-14.285714285714285,0.0,"PLUG, W/HEAD STRAIGHT SCREW",200.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP131ﾌﾀﾅｼ,0.006,6.27,手配,7.0,7.0,2.8400000000000003,2.0,-0.8400000000000003,1.8437712183292918,0.9962287816707085,1.7368965520000001,0.26310344799999985,543.4,10.200050000000001,10.652883333333333,532.0,10.049,10.492333333333333,0.74,0.53
6,1040183011P,0.0,0.0,0.0,28.57142857142857,28.57142857142857,28.57142857142857,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.57142857142857,41.42857142857143,1.4285714285714306,-14.285714285714285,0.0,0.0,"BOLT, FLANGE",500.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.38,手配,7.0,10.0,2.29,1.18,-1.11,1.9286751674951368,0.36132483250486325,0.9669854819999999,0.21301451800000004,1273.8,9.87852,10.30312,1240.2,7.69708,8.110479999999999,0.74,0.54
7,2030044001J,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,50.0,50.0,0.0,0.0,0.0,"SEAL, TYPE T OIL",400.0,ＮＯＫ（株）,1.0,2.0,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,1.68,手配,2.0,2.0,3.0700000000000003,1.885,-1.1850000000000003,3.652512155591572,-0.5825121555915715,1.564640156,0.32035984399999995,424.8,5.8674,6.3984,413.4,3.7904500000000003,4.3072,0.8,0.54
8,2030045013L,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,-16.66666666666667,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,GASKET,2000.0,伊藤金属工業（株）,1.0,1.0,1.96,1Y,TP331ﾌﾀﾅｼ,0.012,4.7,手配,2.0,3.0,1.7900000000000003,0.67,-1.12,3.2670505819405373,-1.477050581940537,3.17062369,-2.5006236900000003,2479.8,6.285735,7.525634999999999,2422.8,6.21021,7.42161,0.84,0.53
9,2030052002N,0.0,50.0,20.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,18.181818181818183,0.0,9.090909090909092,27.27272727272727,18.181818181818183,18.181818181818183,9.090909090909092,0.0,0.0,-31.818181818181817,-20.0,9.090909090909092,27.27272727272727,8.181818181818183,-1.8181818181818166,9.090909090909092,0.0,"PLUG, W/HEAD STRAIGHT SCREW",300.0,（株）杉浦製作所,1.0,2.0,1.06,1Y,TP331ﾌﾀﾅｼ,0.012,9.85,手配,10.0,11.0,0.855,1.86,1.0050000000000001,1.703345903648534,-0.8483459036485341,1.514057302,0.345942698,968.2,11.068333333333333,12.682,945.4,10.878333333333334,12.454,0.77,0.5
