,品番,設計値MAXを超える割合,設計値MINを下回る割合
0,019128GA010    ,0.45,0.022916666666666665
1,01912ECB010    ,0.9729166666666667,0.0
2,01912ECB040    ,0.24791666666666667,0.020833333333333332
3,01912ECB060    ,1.0,0.0
4,33490ECB010    ,0.0,1.0
5,33490ECE010    ,0.0,1.0
6,34989ECB010    ,1.0,0.0
7,34989ECB020    ,1.0,0.0
8,34989ECB030    ,0.9958333333333333,0.0
9,34989ECC010    ,1.0,0.0
10,34989ECE010    ,1.0,0.0
11,34989ECE020    ,1.0,0.0
12,34989ECE030    ,1.0,0.0
13,35145ECB010    ,0.9833333333333333,0.0
14,35145ECE010    ,0.9895833333333334,0.0020833333333333333
15,35145ECE020    ,0.9895833333333334,0.0
16,35165ECE010    ,0.9895833333333334,0.0
17,35174ECB010    ,0.93125,0.016666666666666666
18,35174ECE010    ,0.9729166666666667,0.0020833333333333333
19,35174ECE020    ,0.9854166666666667,0.0
20,3519510A010    ,1.0,0.0
21,35195ECE010    ,0.9979166666666667,0.0
22,35195TFG010    ,0.99375,0.0
23,35198ECE010    ,0.99375,0.0
24,35300ECB010    ,0.0,0.8020833333333334
25,35312ECB010    ,1.0,0.0
26,35352ECB010    ,1.0,0.0
27,3539450A010    ,1.0,0.0
28,35409ECB010    ,1.0,0.0
29,35441ECB010    ,0.32916666666666666,0.04791666666666667
30,35441TFA010    ,1.0,0.0
31,3548255A010    ,1.0,0.0
32,35482TFA010    ,1.0,0.0
33,35501ECB010    ,1.0,0.0
34,35505ECB010    ,0.9291666666666667,0.0020833333333333333
35,35556ECB010    ,0.9979166666666667,0.0
36,35557ECB010    ,0.9874476987447699,0.0041841004184100415
37,35580ECB011    ,0.0,1.0
38,35595ECB010    ,0.9583333333333334,0.0020833333333333333
39,3559850A010    ,1.0,0.0
40,35771ECB010    ,0.04842105263157895,0.37473684210526315
41,35771ECE010    ,0.0,0.17083333333333334
42,35847ECB010    ,0.9958333333333333,0.004166666666666667
43,35847ECB020    ,0.9729166666666667,0.0020833333333333333
44,35847ECE010    ,0.8479166666666667,0.0125
45,35847ECE020    ,0.9375,0.0020833333333333333
46,35882ECB010    ,0.95625,0.0020833333333333333
47,36108ECB010    ,0.9937238493723849,0.0
48,41310ECA020    ,1.0,0.0
49,41310ECB010    ,0.0,1.0
50,41310ECE010    ,0.0,1.0
51,82125ECB010    ,1.0,0.0
52,82125ECE010    ,0.9791666666666666,0.0020833333333333333
53,82821CWA030    ,0.9916666666666667,0.0
54,82821ECB010    ,1.0,0.0
55,82821ECB020    ,0.9708333333333333,0.0
56,82821ECB040    ,0.9958333333333333,0.0
57,82821ECB050    ,0.93125,0.0020833333333333333
58,82821ECE010    ,0.7916666666666666,0.00625
59,82821XAE010    ,0.9,0.0020833333333333333
60,82821XAE020    ,1.0,0.0
61,82824ECB010    ,0.9726315789473684,0.002105263157894737
62,82824ECB020    ,0.125,0.04791666666666667
63,82824ECE010    ,0.9041666666666667,0.03333333333333333
64,9010506A003    ,1.0,0.0
65,9010506A089    ,0.9958333333333333,0.0
66,9010508A014    ,0.6229166666666667,0.053125
67,9010508A042    ,0.9976525821596244,0.0
68,9010512A018    ,0.6645833333333333,0.12083333333333333
69,9011606048     ,1.0,0.0
70,9011906908     ,1.0,0.0
71,9011906A065    ,1.0,0.0
72,9014860027     ,1.0,0.0
73,9014908A008    ,1.0,0.0
74,9015905A007    ,1.0,0.0
75,9015906A021    ,1.0,0.0
76,9015906A022    ,0.9979166666666667,0.0
77,9015906A023    ,0.99375,0.0
78,9020150A002    ,0.9958333333333333,0.0
79,9020156A001    ,0.9916666666666667,0.0
80,9020156A002    ,1.0,0.0
81,9025006027     ,1.0,0.0
82,9025006A007    ,1.0,0.0
83,9030106A018    ,0.9979166666666667,0.0
84,9030111A014    ,0.9875,0.0
85,9030115A011    ,1.0,0.0
86,9030117A010    ,0.9958333333333333,0.0
87,9030119A010    ,1.0,0.0
88,9030119A011    ,0.9979166666666667,0.0
89,9031150A014    ,0.9958246346555324,0.0041753653444676405
90,9031150A015    ,0.9894957983193278,0.0021008403361344537
91,9033106A003    ,0.9954954954954955,0.0
92,9033114006     ,1.0,0.0
93,9033904A002    ,1.0,0.0
94,9033904A003    ,0.9979166666666667,0.0
95,9034108A006    ,0.9979123173277662,0.0
96,9034108A010    ,1.0,0.0
97,9034114A004    ,1.0,0.0
98,9034118060     ,0.9979166666666667,0.0
99,9034118090     ,1.0,0.0
100,9034118A024    ,0.9979166666666667,0.0
101,9036324A003    ,0.9894957983193278,0.004201680672268907
102,9036324A004    ,0.9458333333333333,0.027083333333333334
