"計測日時","品番","拠点所番地","在庫数（箱）","入庫数（箱）","出庫数（箱）"
"2023/03/13 00:00:00","019120LC030    ","< NULL >","5","",""
"2023/03/13 00:00:00","019120LC040    ","< NULL >","3","",""
"2023/03/13 00:00:00","019120LC050    ","< NULL >","5","",""
"2023/03/13 00:00:00","019120LC060    ","< NULL >","5","",""
"2023/03/13 00:00:00","019120LC070    ","< NULL >","4","",""
"2023/03/13 00:00:00","019128GA010    ","< NULL >","86","",""
"2023/03/13 00:00:00","01912ECB010    ","< NULL >","18","",""
"2023/03/13 00:00:00","01912ECB040    ","< NULL >","22","",""
"2023/03/13 00:00:00","01912ECB060    ","< NULL >","4","",""
"2023/03/13 00:00:00","01912TFA050    ","< NULL >","18","",""
"2023/03/13 00:00:00","0355045013U    ","< NULL >","10","",""
"2023/03/13 00:00:00","0355052005L    ","< NULL >","6","",""
"2023/03/13 00:00:00","0355113017A    ","< NULL >","2","",""
"2023/03/13 00:00:00","0355141009R    ","< NULL >","6","",""
"2023/03/13 00:00:00","0355183043P    ","< NULL >","6","",""
"2023/03/13 00:00:00","0355237001E    ","< NULL >","1","",""
"2023/03/13 00:00:00","1040043104R    ","< NULL >","8","",""
"2023/03/13 00:00:00","1040052001Z    ","< NULL >","12","",""
"2023/03/13 00:00:00","1040052103H    ","< NULL >","8","",""
"2023/03/13 00:00:00","1040183004C    ","< NULL >","6","",""
"2023/03/13 00:00:00","1040183011P    ","< NULL >","6","",""
"2023/03/13 00:00:00","1040183017V    ","< NULL >","8","",""
"2023/03/13 00:00:00","2030044001J    ","< NULL >","18","",""
"2023/03/13 00:00:00","2030045013L    ","< NULL >","2","",""
"2023/03/13 00:00:00","2030052002N    ","< NULL >","15","",""
"2023/03/13 00:00:00","2030113004A    ","< NULL >","2","",""
"2023/03/13 00:00:00","2030183013A    ","< NULL >","2","",""
"2023/03/13 00:00:00","3040040039Y    ","< NULL >","4","",""
"2023/03/13 00:00:00","3040052001B    ","< NULL >","24","",""
"2023/03/13 00:00:00","321110LC010    ","< NULL >","86","",""
"2023/03/13 00:00:00","333560LC020    ","< NULL >","4","",""
"2023/03/13 00:00:00","33490ECB010    ","< NULL >","104","",""
"2023/03/13 00:00:00","33490ECE010    ","< NULL >","140","",""
"2023/03/13 00:00:00","34989ECB010    ","< NULL >","3","",""
"2023/03/13 00:00:00","34989ECB020    ","< NULL >","9","",""
"2023/03/13 00:00:00","34989ECB030    ","< NULL >","6","",""
"2023/03/13 00:00:00","34989ECC010    ","< NULL >","3","",""
"2023/03/13 00:00:00","34989ECE010    ","< NULL >","3","",""
"2023/03/13 00:00:00","34989ECE020    ","< NULL >","4","",""
"2023/03/13 00:00:00","34989ECE030    ","< NULL >","1","",""
"2023/03/13 00:00:00","350610LC010    ","< NULL >","40","",""
"2023/03/13 00:00:00","350710LC010    ","< NULL >","51","",""
"2023/03/13 00:00:00","35080ECB010    ","< NULL >","1","",""
"2023/03/13 00:00:00","35080ECE010    ","< NULL >","1","",""
"2023/03/13 00:00:00","35080ECE020    ","< NULL >","1","",""
"2023/03/13 00:00:00","351060LC040    ","< NULL >","15","",""
"2023/03/13 00:00:00","351190LC010    ","< NULL >","17","",""
"2023/03/13 00:00:00","35145ECB010    ","< NULL >","8","",""
"2023/03/13 00:00:00","35145ECE010    ","< NULL >","11","",""
"2023/03/13 00:00:00","35145ECE020    ","< NULL >","11","",""
"2023/03/13 00:00:00","35165ECE010    ","< NULL >","7","",""
"2023/03/13 00:00:00","351680LC030    ","< NULL >","8","",""
"2023/03/13 00:00:00","351710LC010    ","< NULL >","9","",""
"2023/03/13 00:00:00","351720LC010    ","< NULL >","7","",""
"2023/03/13 00:00:00","35174ECB010    ","< NULL >","24","",""
"2023/03/13 00:00:00","35174ECE010    ","< NULL >","20","",""
"2023/03/13 00:00:00","35174ECE020    ","< NULL >","12","",""
"2023/03/13 00:00:00","3519510A010    ","< NULL >","6","",""
"2023/03/13 00:00:00","35195ECE010    ","< NULL >","9","",""
"2023/03/13 00:00:00","35195TFG010    ","< NULL >","14","",""
"2023/03/13 00:00:00","351980LC020    ","< NULL >","6","",""
"2023/03/13 00:00:00","351980LC030    ","< NULL >","8","",""
"2023/03/13 00:00:00","351980LC040    ","< NULL >","7","",""
"2023/03/13 00:00:00","351988LA010    ","< NULL >","4","",""
"2023/03/13 00:00:00","35198ECE010    ","< NULL >","8","",""
"2023/03/13 00:00:00","352400LC020    ","< NULL >","2","",""
"2023/03/13 00:00:00","352450LC010    ","< NULL >","","",""
"2023/03/13 00:00:00","35246TFG010    ","< NULL >","6","",""
"2023/03/13 00:00:00","35256TGB010    ","< NULL >","1","",""
"2023/03/13 00:00:00","35275TBG010    ","< NULL >","","",""
"2023/03/13 00:00:00","352800LA010    ","< NULL >","12","",""
"2023/03/13 00:00:00","35300ECB010    ","< NULL >","94","",""
"2023/03/13 00:00:00","35312ECB010    ","< NULL >","16","",""
"2023/03/13 00:00:00","35352ECB010    ","< NULL >","3","",""
"2023/03/13 00:00:00","3539450A010    ","< NULL >","6","",""
"2023/03/13 00:00:00","35409ECB010    ","< NULL >","7","",""
"2023/03/13 00:00:00","354110LC030    ","< NULL >","5","",""
"2023/03/13 00:00:00","35419TRA010    ","< NULL >","10","",""
"2023/03/13 00:00:00","354210LC040    ","< NULL >","4","",""
"2023/03/13 00:00:00","354260LC010    ","< NULL >","15","",""
"2023/03/13 00:00:00","354320LC040    ","< NULL >","6","",""
"2023/03/13 00:00:00","35441ECB010    ","< NULL >","34","",""
"2023/03/13 00:00:00","35441TFA010    ","< NULL >","20","",""
"2023/03/13 00:00:00","354710LC010    ","< NULL >","5","",""
"2023/03/13 00:00:00","354820LC010    ","< NULL >","4","",""
"2023/03/13 00:00:00","3548255A010    ","< NULL >","10","",""
"2023/03/13 00:00:00","35482TFA010    ","< NULL >","4","",""
"2023/03/13 00:00:00","35501ECB010    ","< NULL >","9","",""
"2023/03/13 00:00:00","35505ECB010    ","< NULL >","22","",""
"2023/03/13 00:00:00","35556ECB010    ","< NULL >","7","",""
"2023/03/13 00:00:00","35557ECB010    ","< NULL >","18","",""
"2023/03/13 00:00:00","35580ECB011    ","< NULL >","39","",""
"2023/03/13 00:00:00","35595ECB010    ","< NULL >","16","",""
"2023/03/13 00:00:00","3559850A010    ","< NULL >","16","",""
"2023/03/13 00:00:00","356030LC020    ","< NULL >","3","",""
"2023/03/13 00:00:00","356170LC060    ","< NULL >","4","",""
"2023/03/13 00:00:00","356340LC020    ","< NULL >","9","",""
"2023/03/13 00:00:00","356340LC030    ","< NULL >","6","",""
"2023/03/13 00:00:00","356680LC020    ","< NULL >","6","",""
"2023/03/13 00:00:00","356790LC010    ","< NULL >","1","",""
"2023/03/13 00:00:00","356790LC020    ","< NULL >","16","",""
"2023/03/13 00:00:00","356790LC030    ","< NULL >","24","",""
