品番,仕入先コード,仕入先名,受入,収容数,箱種,箱_たて,箱_よこ,箱_高さ,箱体積(m3),パレット_たて,パレット_よこ,パレット_高さ,パレット体積,箱/面数,箱/段数332　5段　332.5　4段,パレタイズ発注（有/無）品番で6割程度　物流センター分はある,キュービック_たて,キュービック_よこ,キュービック_高さ,キュービック_体積,合計/箱数,1パレ最大箱数,完成キュービック数,綺麗なキュービック数,綺麗なキュービック総体積,綺麗なキュービックの総箱体積,綺麗なキュービックの総パレット体積,端数のキュービック数,箱の端数,キュービック縦横高さ重複識別ラベル,同箱形状_箱合計,混載するきれいなキュービック,混載しても出る端数の箱数,必要段数,混載条件の容積,混載条件のパレット含めた高さ,混載するきれいなキュービックの体積
AAAA,2038,アイシン機工（株）,E4,150,TP131,0.335,0.168,0.103,0.0062458,1.0,1.0,0.13,0.13,18,6,無,1.0,1.0,0.79,0.79,0.25,108,0.0023148148148148147,0,0.0,0.0,0.0,0.0023148148148148147,0.25,1.0_1.0_0.79,0.25,0.0,0.25,1.0,0.2424244,0.23299999999999998,0.0
AAAA,2038,アイシン機工（株）,L4,150,TP131,0.335,0.168,0.103,0.0062458,1.0,1.0,0.13,0.13,18,6,無,1.0,1.0,0.79,0.79,0.25,108,0.0023148148148148147,0,0.0,0.0,0.0,0.0023148148148148147,0.25,1.0_1.0_0.79,0.25,0.0,0.25,1.0,0.2424244,0.23299999999999998,0.0
AABB,2038,アイシン機工（株）,E4,6,TP341.5,0.503,0.335,0.149,0.027744,1.0,1.0,0.13,0.13,6,5,無,1.0,1.0,0.93,0.93,0.75,30,0.025,0,0.0,0.0,0.0,0.025,0.75,1.0_1.0_0.93,0.75,0.0,0.75,1.0,0.296464,0.279,0.0
AACC,2038,アイシン機工（株）,L2,2,TP332,0.335,0.335,0.195,0.02312,1.0,1.0,0.13,0.13,9,5,無,1.0,1.0,1.13,1.13,12.25,45,0.2722222222222222,0,0.0,0.0,0.0,0.2722222222222222,12.25,1.0_1.0_1.13,18.0,0.0,18.0,2.0,0.54616,0.52,0.0
AADD,2038,アイシン機工（株）,N7,1,TP331.5,0.335,0.335,0.149,0.016721525,1.0,1.0,0.13,0.13,9,5,有,1.0,1.0,0.875,0.875,33.75,45,0.75,0,0.0,0.0,0.0,0.75,33.75,1.0_1.0_0.875,33.75,0.0,33.75,4.0,0.7319749000000001,0.726,0.0
AAEE,2038,アイシン機工（株）,X8,2,ポリ箱1,0.34,0.5,0.39,0.06630000000000001,1.0,1.0,0.13,0.13,6,3,有,1.0,1.0,1.33,1.33,83.5,18,4.638888888888889,4,5.32,4.800000000000001,0.52,0.6388888888888893,11.5,1.0_1.0_1.33,23.0,1.0,5.0,1.0,0.5278,0.52,1.33
AAFF,2038,アイシン機工（株）,X8,2,ポリ箱2,0.34,0.5,0.33,0.056100000000000004,1.0,1.0,0.13,0.13,6,3,有,1.0,1.0,1.03,1.03,5.5,18,0.3055555555555556,0,0.0,0.0,0.0,0.3055555555555556,5.5,1.0_1.0_1.03,5.5,0.0,5.5,1.0,0.4666,0.46,0.0
AAGG,2038,アイシン機工（株）,E4,3,TP343,0.503,0.335,0.288,0.05202,1.0,1.0,0.13,0.13,6,3,無,1.0,1.0,1.03,1.03,0.5,18,0.027777777777777776,0,0.0,0.0,0.0,0.027777777777777776,0.5,1.0_1.0_1.03,3.0,0.0,3.0,1.0,0.44211999999999996,0.418,0.0
AAHH,2038,アイシン機工（株）,E4,3,TP343,0.503,0.335,0.288,0.04995,1.0,1.0,0.13,0.13,6,3,無,1.0,1.0,1.03,1.03,0.25,18,0.013888888888888888,0,0.0,0.0,0.0,0.013888888888888888,0.25,1.0_1.0_1.03,3.0,0.0,3.0,1.0,0.4297,0.418,0.0
AAII,2038,アイシン機工（株）,E4,3,TP343,0.503,0.335,0.288,0.05202,1.0,1.0,0.13,0.13,6,3,無,1.0,1.0,1.03,1.03,2.25,18,0.125,0,0.0,0.0,0.0,0.125,2.25,1.0_1.0_1.03,3.0,0.0,3.0,1.0,0.44211999999999996,0.418,0.0
