,Unnamed: 0,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,使用工程,回収かんばん数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,納入数/日量数（箱数）,入庫数/納入数（箱数）,出庫数/入庫数（箱数）,回収数/出庫数（箱数）,回収数/納入数（箱数）,出庫数/納入数（箱数）,便Ave,年＆週番号,納入かんばん数（週合計）-日量数（箱数週合計）,上限-下限,条件チェック,差分
57,51,41310ECE010    ,2023,50,99,910,906,（株）オンド,195.5,0.17,1.14,1.94,2.22,2.35,0.7,0.714780145,3,1,1,1.9,2,810,980.5,0.97,0.8,0.28,0.13,1.21,0.05,1.728571429,1.692828218,1.746185731,0.478211926,100,390,1.デフ・大物ギヤ・Brg,1005,0,0,0.017206478,0.826109128,1.12345679,0.995604396,1.109271523,1.240740741,1.118518519,195.5,2023-50,-170.5,205.275,FALSE,-396.8243827
12,12,33490ECE010    ,2023,50,65,453,456,マレリ（株）,97.75,0.32,4.09,4.26,5,5.165,0.81,0.839560291,3,1,1,1.74,4,422,490.25,3.77,0.17,0.74,0.165,1.075,0.23,1.327160494,1.280432164,2.426867288,0.618668362,100,390,7.ファイナル前半,504,0,0,-0.064935065,0.860785314,1.073459716,1.006622517,1.105263158,1.194312796,1.08056872,97.75,2023-50,-68.25,120.2325,FALSE,-193.4961256
56,50,41310ECB010    ,2023,50,60,761,817,（株）オンド,178,0.17,1.14,1.65,1.78,1.95,0.69,0.701609346,2,1,24,19.68,2,749,888.5,0.97,0.51,0.13,0.17,0.81,0.05,1.173913043,1.154488613,3.911937931,2.966096831,100,390,1.デフ・大物ギヤ・Brg,906,0,0,0.169032258,0.84299381,1.016021362,1.073587385,1.108935129,1.209612817,1.090787717,7.416666667,2023-50,-139.5,16.31666667,FALSE,-158.0516466
11,11,33490ECB010    ,2023,50,33,398,411,マレリ（株）,89,0.32,4.09,4.41,4.56,4.73,0.82,0.854828037,3,1,1,1.9,4,401,444.25,3.77,0.32,0.15,0.17,0.64,0.23,0.780487805,0.748688593,1.278574196,0.348363736,100,390,7.ファイナル前半,450,0,0,0.094890511,0.902644907,0.992518703,1.032663317,1.094890511,1.122194514,1.024937656,89,2023-50,-43.25,109.47,FALSE,-152.3964339
43,37,35580ECB011    ,2023,50,78,240,272,アイシン精機（株）,59.33333333,0.21,1.19,1.73,2.94,3.185,0.9,0.952242055,3,1,1,1.79,6,190,236,0.98,0.54,1.21,0.245,1.995,0.14,2.216666667,2.095055548,4.71185212,1.163973201,100,390,8.ファイナル後半,299,0,0,0.582010582,0.805084746,1.263157895,1.133333333,1.099264706,1.573684211,1.431578947,59.33333333,2023-50,-46,67.64,FALSE,-125.7452632
30,26,35300ECB010    ,2023,50,86,259,290,アイシン精機（株）,62.25,0.2,1.19,1.68,2.95,3.195,0.91,0.957968021,3,1,1,2.14,12,206,249.1666667,0.99,0.49,1.27,0.245,2.005,0.14,2.203296703,2.092971744,4.399764664,1.232758145,100,390,3.ギヤサブ・共通部品,319,0,0,0.556097561,0.826755853,1.257281553,1.11969112,1.1,1.548543689,1.40776699,62.25,2023-50,-43.16666667,70.965,FALSE,-125.2376537
153,141,G9201ECE010    ,2023,50,55,223,226,佐藤工業（株）,48.875,1.6,5.02,5.3,6.35,6.67,0.86,0.899413721,2,1,4,4,8,182,245.125,3.42,0.28,1.05,0.32,1.65,0.05,1.918604651,1.834528384,9.002557545,2.32410168,100,390,8.ファイナル後半,248,0,0,0.530864198,0.742478327,1.225274725,1.013452915,1.097345133,1.362637363,1.241758242,12.21875,2023-50,-63.125,14.6625,FALSE,-92.00796703
76,70,9010512A018    ,2023,50,26,229,247,（株）青山製作所,51.94,0.31,1.23,1.57,2,2.21,1.04,1.097780089,3,1,1,1.79,200,225,259.82,0.92,0.34,0.43,0.21,0.98,0.08,0.942307692,0.892710671,1.794184909,0.461556064,100,390,3.ギヤサブ・共通部品,268,0,0,0.150214592,0.865984143,1.017777778,1.07860262,1.085020243,1.191111111,1.097777778,51.94,2023-50,-34.82,56.0952,FALSE,-91.53422222
47,41,35771ECE010    ,2023,50,35,296,301,アイシン機工（株）,65.16666667,0.39,1.2,1.44,2.07,2.3,0.79,0.819560291,2,1,4,4,6,273,326.8333333,0.81,0.24,0.63,0.23,1.1,0.07,1.392405063,1.342183135,4.296675192,1.467709847,100,390,2.MGケース,335,0,0,0.037151703,0.835288118,1.084249084,1.016891892,1.112956811,1.227106227,1.102564103,16.29166667,2023-50,-53.83333333,20.85333333,FALSE,-79.2220757
143,131,G1144ECE010    ,2023,50,49,258,226,矢崎総業（株）,48.875,0.14,3.97,4.2,4.525,4.61,0.58,0.619413721,2,1,4,4,8,196,245.125,3.83,0.23,0.325,0.085,0.64,0,1.103448276,1.033235103,8.020460358,2.160211861,100,390,2.MGケース,252,0,0,0.298969072,0.799592045,1.316326531,0.875968992,1.115044248,1.285714286,1.153061224,12.21875,2023-50,-49.125,12.21875,FALSE,-76.88329082
74,68,9010508A014    ,2023,50,19,103,111,（株）青山製作所,56.21,0.31,1.235,1.56,1.88,2.26,1.08,1.133008685,3,1,1,1.79,500,244,281.27,0.925,0.325,0.32,0.38,1.025,0.08,0.949074074,0.904670912,1.211534574,0.315446757,100,390,4.TA・カバー・メイン,284,0,0,0.092307692,0.867493867,0.422131148,1.077669903,2.558558559,1.163934426,0.454918033,56.21,2023-50,-37.27,60.7068,FALSE,-76.43962787
46,40,35771ECB010    ,2023,50,17,401,408,アイシン機工（株）,89,0.39,1.2,1.42,1.64,1.795,0.79,0.824828037,3,1,4,4,4,406,444.25,0.81,0.22,0.22,0.155,0.595,0.07,0.753164557,0.721362482,1.528089888,0.602236994,100,390,2.MGケース,456,0,0,0.1875,0.913899831,0.987684729,1.017456359,1.117647059,1.123152709,1.004926108,22.25,2023-50,-38.25,28.48,FALSE,-66.25894089
146,134,G117362010     ,2023,50,38,166,192,多摩川精機販売（株）,41.5,0.1,5.11,5.54,6.25,6.55,0.89,0.913984011,1,1,4,8.04,18,159,207.6666667,5.01,0.43,0.71,0.3,1.44,0,1.617977528,1.575519903,4.051604649,2.302806352,100,390,4.TA・カバー・メイン,213,0,0,0.6640625,0.76565008,1.044025157,1.156626506,1.109375,1.339622642,1.20754717,10.375,2023-50,-48.66666667,10.375,FALSE,-61.18422432
142,130,G1144ECB010    ,2023,50,31,229,267,住友電気工業（株）,59.33333333,1.16,4.36,4.8,5.1,5.3,0.63,0.664828037,2,1,6,5.76,6,244,296.1666667,3.2,0.44,0.3,0.2,0.94,0,1.492063492,1.413899457,4.637324646,1.772149563,100,390,2.MGケース,301,0,0,0.110701107,0.823860439,0.93852459,1.165938865,1.127340824,1.233606557,1.094262295,9.888888889,2023-50,-52.16666667,9.888888889,FALSE,-58.84858834
0,0,019128GA010    ,2023,50,26,78,80,石黒ゴム工業（株）,15.94,0.11,3.6,4,4.685,5.015,1.07,1.140323488,1,1,24,19.68,50,50,77.76,3.49,0.4,0.685,0.33,1.415,0.29,1.322429907,1.240875957,18.92978748,1.275075203,100,390,8.ファイナル後半,86,0,0,0.50877193,0.643004115,1.56,1.025641026,1.075,1.72,1.6,0.664166667,2023-50,-27.76,5.286766667,FALSE,-48.59236667
152,140,G9201ECB030    ,2023,50,23,198,202,佐藤工業（株）,44.5,1.06,5.02,5.19,5.75,5.92,0.78,0.826437382,2,1,4,4,8,189,222.125,3.96,0.17,0.56,0.17,0.9,0.05,1.153846154,1.089011726,4.134831461,1.315425891,100,390,8.ファイナル後半,222,0,0,0.563380282,0.850872257,1.047619048,1.02020202,1.099009901,1.174603175,1.068783069,11.125,2023-50,-33.125,13.35,FALSE,-48.05238095
2,2,01912ECB040    ,2023,50,30,105,98,愛産樹脂工業（株）,19.925,0.26,4.41,4.41,5.83,6.05,0.25,0.30625879,1,1,1,3.05,40,65,78.5,4.15,0,1.42,0.22,1.64,0,6.56,5.354948335,3.717644872,1.217587078,100,390,8.ファイナル後半,107,0,0,0.407894737,0.828025478,1.615384615,0.933333333,1.091836735,1.646153846,1.507692308,19.925,2023-50,-13.5,19.925,FALSE,-41.73269231
23,20,35174ECB010    ,2023,50,10,70,81,（株）浅賀井製作所,17.75,0.61,1.83,2.09,2.7,2.87,0.91,0.968046728,1,1,1,3.05,20,71,88.85,1.22,0.26,0.61,0.17,1.04,0.13,1.142857143,1.074328305,1.391062424,0.499286958,100,390,2.MGケース,91,0,0,0.378787879,0.799099606,0.985915493,1.157142857,1.12345679,1.281690141,1.14084507,17.75,2023-50,-17.85,20.0575,FALSE,-37.65609155
145,133,G1163ECE010    ,2023,50,16,76,83,（株）青山製作所,18.09,0.31,1.26,1.57,2.59,2.83,1.03,1.084609,1,1,2,1.06,100,71,90.42,0.95,0.31,1.02,0.24,1.57,0.08,1.524271845,1.447526252,8.587053943,0.863159358,100,390,2.MGケース,93,0,0,0.17721519,0.785224508,1.070422535,1.092105263,1.120481928,1.309859155,1.169014085,9.045,2023-50,-19.42,10.4922,FALSE,-31.27980563
119,110,9036659A009    ,2023,50,17,105,96,（株）ジェイテクト,20.75,0.09,2.02,2.65,3.61,3.71,0.59,0.637968021,1,1,4,4,36,87,103.8333333,1.93,0.63,0.96,0.1,1.69,0,2.86440678,2.6490356,6.554216867,1.33028496,100,390,1.デフ・大物ギヤ・Brg,106,0,0,0.358974359,0.83788122,1.206896552,0.914285714,1.104166667,1.218390805,1.103448276,5.1875,2023-50,-16.83333333,5.1875,FALSE,-25.50359195
