,Unnamed: 0.1,計測日時,品番,拠点所番地,在庫数（箱）,入庫数（箱）,出庫数（箱）,Unnamed: 0
0,0,2023-12-11 00:00:00,019120LC030    ,30113,11.0,0.0,0.0,
1,1,2023-12-11 00:00:00,019120LC050    ,20115,5.0,0.0,0.0,
2,2,2023-12-11 00:00:00,019120LC060    ,30116,10.0,0.0,0.0,
3,3,2023-12-11 00:00:00,019120LC070    ,20117,11.0,0.0,0.0,
4,4,2023-12-11 00:00:00,019128GA010    ,50460,26.0,0.0,0.0,
5,5,2023-12-11 00:00:00,01912ECB010    ,30464,7.0,0.0,0.0,
6,6,2023-12-11 00:00:00,01912ECB040    ,50491,30.0,0.0,0.0,
7,7,2023-12-11 00:00:00,01912ECB060    ,20459,1.0,0.0,0.0,
8,8,2023-12-11 00:00:00,01912TFA050    ,10118,10.0,0.0,0.0,
9,9,2023-12-11 00:00:00,0355045013U    ,10111,2.0,0.0,0.0,
10,10,2023-12-11 00:00:00,0355113017A    ,10001,1.0,0.0,0.0,
11,11,2023-12-11 00:00:00,0355141009R    ,10014,,,,
12,12,2023-12-11 00:00:00,0355183043P    ,20106,2.0,0.0,0.0,
13,13,2023-12-11 00:00:00,0355237001E    ,C0312,,,,
14,14,2023-12-11 00:00:00,1040043104R    ,10127,,,,
15,16,2023-12-11 00:00:00,1040052001Z    ,10017,3.0,0.0,0.0,
16,18,2023-12-11 00:00:00,1040052103H    ,20112,4.0,0.0,0.0,
17,19,2023-12-11 00:00:00,1040183004C    ,20086,2.0,0.0,0.0,
18,20,2023-12-11 00:00:00,1040183011P    ,20369,,,,
19,22,2023-12-11 00:00:00,1040183017V    ,20088,2.0,0.0,0.0,
20,23,2023-12-11 00:00:00,2030044001J    ,10412,2.0,0.0,0.0,
21,24,2023-12-11 00:00:00,2030045013L    ,20442,2.0,0.0,0.0,
22,25,2023-12-11 00:00:00,2030052002N    ,20363,3.0,0.0,0.0,
23,26,2023-12-11 00:00:00,2030113004A    ,10099,4.0,0.0,0.0,
24,27,2023-12-11 00:00:00,2030183013A    ,10087,2.0,0.0,0.0,
25,28,2023-12-11 00:00:00,3040040039Y    ,10098,3.0,0.0,0.0,
26,29,2023-12-11 00:00:00,3040052001B    ,20379,3.0,0.0,0.0,
27,31,2023-12-11 00:00:00,3040141002R    ,10507,,,,
28,32,2023-12-11 00:00:00,321110LC010    ,40081,76.0,0.0,0.0,
29,33,2023-12-11 00:00:00,321118LA010    ,40509,,,,
30,34,2023-12-11 00:00:00,333560LC020    ,30043,7.0,0.0,0.0,
31,35,2023-12-11 00:00:00,33490ECB010    ,30439,33.0,0.0,0.0,
32,36,2023-12-11 00:00:00,33490ECE010    ,30440,65.0,0.0,0.0,
33,37,2023-12-11 00:00:00,34989ECB010    ,10394,2.0,0.0,0.0,
34,38,2023-12-11 00:00:00,34989ECB020    ,10397,7.0,0.0,0.0,
35,39,2023-12-11 00:00:00,34989ECB030    ,10398,4.0,0.0,0.0,
36,40,2023-12-11 00:00:00,34989ECC010    ,10399,2.0,0.0,0.0,
37,41,2023-12-11 00:00:00,34989ECE010    ,10395,3.0,0.0,0.0,
38,42,2023-12-11 00:00:00,34989ECE020    ,10396,1.0,0.0,0.0,
39,43,2023-12-11 00:00:00,34989ECE030    ,10505,3.0,0.0,0.0,
40,44,2023-12-11 00:00:00,34989ECE040    ,10521,1.0,0.0,0.0,
41,45,2023-12-11 00:00:00,350610LC010    ,40030,216.0,0.0,0.0,
42,46,2023-12-11 00:00:00,350710LC010    ,30069,81.0,0.0,0.0,
43,47,2023-12-11 00:00:00,35080ECB010    ,30476,,,,
44,48,2023-12-11 00:00:00,35080ECE010    ,30472,,,,
45,49,2023-12-11 00:00:00,35080ECE020    ,30473,,,,
46,50,2023-12-11 00:00:00,351060LC040    ,50107,30.0,0.0,0.0,
47,51,2023-12-11 00:00:00,351190LC010    ,50079,31.0,0.0,0.0,
48,52,2023-12-11 00:00:00,35141ECB010    ,98004,16.0,0.0,0.0,
49,53,2023-12-11 00:00:00,35141ECE010    ,98006,28.0,0.0,0.0,
50,54,2023-12-11 00:00:00,35145ECB010    ,10447,6.0,0.0,0.0,
51,55,2023-12-11 00:00:00,35145ECE010    ,10449,5.0,0.0,0.0,
52,56,2023-12-11 00:00:00,35145ECE020    ,10494,4.0,0.0,0.0,
53,57,2023-12-11 00:00:00,35165ECE010    ,10492,3.0,0.0,0.0,
54,58,2023-12-11 00:00:00,351680LC030    ,50108,24.0,0.0,0.0,
55,59,2023-12-11 00:00:00,351710LC010    ,30072,55.0,0.0,0.0,
56,60,2023-12-11 00:00:00,351720LC010    ,10080,9.0,0.0,0.0,
57,61,2023-12-11 00:00:00,35174ECB010    ,30391,17.0,0.0,0.0,
58,62,2023-12-11 00:00:00,35174ECE010    ,30392,14.0,0.0,0.0,
59,63,2023-12-11 00:00:00,35174ECE020    ,20393,8.0,0.0,0.0,
60,64,2023-12-11 00:00:00,3519510A010    ,10479,3.0,0.0,0.0,
61,65,2023-12-11 00:00:00,35195ECE010    ,10450,4.0,0.0,0.0,
62,66,2023-12-11 00:00:00,35195TFG010    ,10448,3.0,0.0,0.0,
63,67,2023-12-11 00:00:00,351980LC020    ,20010,7.0,0.0,0.0,
64,68,2023-12-11 00:00:00,351980LC030    ,20011,11.0,0.0,0.0,
65,69,2023-12-11 00:00:00,351980LC040    ,20012,8.0,0.0,0.0,
66,70,2023-12-11 00:00:00,351988LA010    ,20508,1.0,0.0,0.0,
67,71,2023-12-11 00:00:00,351988LA020    ,10511,,,,
68,72,2023-12-11 00:00:00,351988LA030    ,20512,,,,
69,73,2023-12-11 00:00:00,351988LA040    ,10513,,,,
70,74,2023-12-11 00:00:00,35198ECE010    ,20434,5.0,0.0,0.0,
71,75,2023-12-11 00:00:00,352400LC020    ,40105,8.0,0.0,0.0,
72,76,2023-12-11 00:00:00,352450LC010    ,10097,4.0,0.0,0.0,
73,77,2023-12-11 00:00:00,35246TFG010    ,10093,2.0,0.0,0.0,
74,78,2023-12-11 00:00:00,35275TBG010    ,10101,6.0,0.0,0.0,
75,79,2023-12-11 00:00:00,352800LA010    ,40091,18.0,0.0,0.0,
76,80,2023-12-11 00:00:00,35300ECB010    ,40428,100.0,0.0,0.0,
