,"=""ïiî‘""","=""â¡çHê}ïÑçÜ""","=""ê›ïœïÑçÜ""","=""ïiñº""","=""ÉXÉeÅ[É^ÉX""","=""î≠íçãÊï™""","=""êÆîıé∫""","=""êÆîıé∫ñº""","=""éËîzãÊï™""","=""çHíˆì‡äOêª""","=""çHíˆÉRÅ[Éh""","=""édì¸êÊñº/çHèÍñº""","=""î≠ëóèÍèä""","=""î≠ëóèÍèäñº""","=""éÛãããÊï™""","=""å„çHíˆì‡äOêª""","=""å„çHíˆÉRÅ[Éh""","=""å„çHíˆédì¸êÊñº/çHèÍñº""","=""éÛì¸èÍèä""","=""éÛì¸èÍèäñº""","=""î†éÌóﬁ""",é˚óeêî,äÓèÄç›å…ì˙êî,äÓèÄç›å…ñáêî,ÉTÉCÉNÉãä‘äu,"=""ÉTÉCÉNÉãâÒêî""",ÉTÉCÉNÉãèÓïÒ,"=""çXêV""","=""çXêVé“""","=""ç≈èIçXêVì˙éû""","=""É}ÉCÉiÉXïKóvêîóLñ≥""",ìñåéïKóvêî,"=""ìñåéâ“ì≠ì˙êî""",óÇåéïKóvêî,"=""óÇåéâ“ì≠ì˙êî""",óÇÅXåéïKóvêî,"=""óÇÅXåéâ“ì≠ì˙êî""",óÇÅXÅXåéïKóvêî,"=""óÇÅXÅXåéâ“ì≠ì˙êî""",1(ã‡),2(ìy),3(ì˙),4(åé),5(âŒ),6(êÖ),7(ñÿ),8(ã‡),9(ìy),10(ì˙),11(åé),12(âŒ),13(êÖ),14(ñÿ),15(ã‡),16(ìy),17(ì˙),18(åé),19(âŒ),20(êÖ),21(ñÿ),22(ã‡),23(ìy),24(ì˙),25(åé),26(âŒ),27(êÖ),28(ñÿ),29(ã‡),30(ìy),31(ì˙),ìñåéåvéZêî,óÇåéåvéZêî,óÇÅXåéåvéZêî,óÇÅXÅXåéåvéZêî,1(ã‡).1,2(ìy).1,3(ì˙).1,4(åé).1,5(âŒ).1,6(êÖ).1,7(ñÿ).1,8(ã‡).1,9(ìy).1,10(ì˙).1,11(åé).1,12(âŒ).1,13(êÖ).1,14(ñÿ).1,15(ã‡).1,16(ìy).1,17(ì˙).1,18(åé).1,19(âŒ).1,20(êÖ).1,21(ñÿ).1,22(ã‡).1,23(ìy).1,24(ì˙).1,25(åé).1,26(âŒ).1,27(êÖ).1,28(ñÿ).1,29(ã‡).1,30(ìy).1,31(ì˙).1,î[ì¸âÒêîÅiä‘äuÅj,î[ì¸âÒêîÅiâÒêîÅj,î[ì¸âÒêîÅiíxÇÍÅj,î†éÌóﬁ,î†èdó 
0,"=""35300-ECB010""","=""""","="" A""","PUMP ASSY, OIL W/MOTOR","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""0001""","=""ÉAÉCÉVÉìê∏ã@ÅiäîÅj""","=""12""","=""îºìcçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-341  ›÷≥""",       12,  0.91, 3.0,1,"=""04""",  8.04,"=""""","=""""","=""""","=""""","     15,010","=""20.0""","     13,585","=""18.0""","     16,124","=""21.0""","     16,384","=""21.0""",        748,          0,          0,        747,        746,        746,        747,        746,          0,          0,        747,        747,        747,        749,        748,          0,          0,        747,        746,        747,        809,        693,          0,          0,        747,        809,        747,        747,          0,          0,          0,"     15,010","     13,585","     16,124","     16,384",        748,          0,          0,        747,        746,        746,        747,        746,          0,          0,        747,        747,        747,        749,        748,          0,          0,        747,        746,        747,        809,        693,          0,          0,        747,        809,        747,        747,          0,          0,          0,1,01, 2.14,ÇsÇoÇRÇRÇPÉtÉ^ÉiÉV,   0.690
1,"=""35580-ECB011""","=""""","="" B""","ACTUATOR ASSY, SHIFT CONTROL","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""0001""","=""ÉAÉCÉVÉìê∏ã@ÅiäîÅj""","=""12""","=""îºìcçHèÍ""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-342 æ›÷≥""",        6,  0.90, 3.0,1,"=""04""",  8.04,"=""""","=""""","=""""","=""""","      6,891","=""20.0""","      6,163","=""18.0""","      7,388","=""21.0""","      5,946","=""21.0""",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,"      6,891","      6,163","      7,388","      5,946",        337,          0,          0,        330,        326,        324,        324,        332,          0,          0,        356,        357,        355,        348,        361,          0,          0,        349,        344,        330,        366,        324,          0,          0,        345,        377,        356,        350,          0,          0,          0,1,01, 1.79,ÇsÇoÇRÇRÇPÉtÉ^ÉAÉä,   5.700
2,"=""1040 052 001Z""","=""""","="" D""","PLUG, W/HEAD STRAIGHT SCREW","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""0024""","=""ÅiäîÅjê¬éRêªçÏèä""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-131  ›÷≥""",      200,  1.07, 3.0,1,"=""06""",  5.76,"=""""","=""""","=""""","=""""","      8,119","=""20.0""","      7,422","=""18.0""","      8,736","=""21.0""","     10,438","=""21.0""",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,"      8,119","      7,422","      8,736","     10,438",        411,          0,          0,        417,        420,        422,        423,        414,          0,          0,        391,        390,        392,        401,        387,          0,          0,        398,        402,        417,        443,        369,          0,          0,        402,        432,        391,        397,          0,          0,          0,1,01, 0.73,ÇsÇoÇPÇRÇPÉtÉ^ÉiÉV,  10.470
3,"=""1040 183 011P""","=""""","="" C""","BOLT, FLANGE","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""0024""","=""ÅiäîÅjê¬éRêªçÏèä""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-331  ›÷≥""",      500,  1.04, 1.0,1,"=""06""",  5.76,"=""""","=""""","=""""","=""""","     20,673","=""20.0""","     18,489","=""18.0""","     22,164","=""21.0""","     17,838","=""21.0""","      1,011",          0,          0,        990,        978,        972,        972,        996,          0,          0,"      1,068","      1,071","      1,065","      1,044","      1,083",          0,          0,"      1,047","      1,032",        990,"      1,098",        972,          0,          0,"      1,035","      1,131","      1,068","      1,050",          0,          0,          0,"     20,673","     18,489","     22,164","     17,838","      1,011",          0,          0,        990,        978,        972,        972,        996,          0,          0,"      1,068","      1,071","      1,065","      1,044","      1,083",          0,          0,"      1,047","      1,032",        990,"      1,098",        972,          0,          0,"      1,035","      1,131","      1,068","      1,050",          0,          0,          0,1,01, 0.73,ÇsÇoÇPÇRÇPÉtÉ^ÉiÉV,  13.860
4,"=""3040 052 001B""","=""""","="" C""","PLUG, W/HEAD STRAIGHT SCREW","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""0024""","=""ÅiäîÅjê¬éRêªçÏèä""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-331  ›÷≥""",      500,  1.02, 3.0,1,"=""06""",  5.76,"=""""","=""""","=""""","=""""","     68,159","=""20.0""","     61,762","=""18.0""","     73,232","=""21.0""","     75,974","=""21.0""","      3,403",          0,          0,"      3,405","      3,404","      3,406","      3,411","      3,398",          0,          0,"      3,379","      3,378","      3,380","      3,397","      3,379",          0,          0,"      3,386","      3,386","      3,405","      3,679","      3,141",          0,          0,"      3,390","      3,668","      3,379","      3,385",          0,          0,          0,"     68,159","     61,762","     73,232","     75,974","      3,403",          0,          0,"      3,405","      3,404","      3,406","      3,411","      3,398",          0,          0,"      3,379","      3,378","      3,380","      3,397","      3,379",          0,          0,"      3,386","      3,386","      3,405","      3,679","      3,141",          0,          0,"      3,390","      3,668","      3,379","      3,385",          0,          0,          0,1,01, 1.90,ÇsÇoÇRÇRÇQÉtÉ^ÉiÉV,   3.300
5,"=""90105-06A003""","=""""","="" A""","BOLT, FLANGE","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""0024""","=""ÅiäîÅjê¬éRêªçÏèä""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-331  ›÷≥""","    2,000",  1.02, 1.0,1,"=""06""",  5.76,"=""""","=""""","=""""","=""""","     27,564","=""20.0""","     24,652","=""18.0""","     29,552","=""21.0""","     23,784","=""21.0""","      1,348",          0,          0,"      1,320","      1,304","      1,296","      1,296","      1,328",          0,          0,"      1,424","      1,428","      1,420","      1,392","      1,444",          0,          0,"      1,396","      1,376","      1,320","      1,464","      1,296",          0,          0,"      1,380","      1,508","      1,424","      1,400",          0,          0,          0,"     27,564","     24,652","     29,552","     23,784","      1,348",          0,          0,"      1,320","      1,304","      1,296","      1,296","      1,328",          0,          0,"      1,424","      1,428","      1,420","      1,392","      1,444",          0,          0,"      1,396","      1,376","      1,320","      1,464","      1,296",          0,          0,"      1,380","      1,508","      1,424","      1,400",          0,          0,          0,1,01, 1.79,ÇsÇoÇRÇRÇPÉtÉ^ÉAÉä,   3.180
6,"=""90105-06A089""","=""""","=""""","BOLT, FLANGE","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""0024""","=""ÅiäîÅjê¬éRêªçÏèä""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-331  ›÷≥""","    1,500",  1.00, 3.0,1,"=""06""",  5.76,"=""""","=""""","=""""","=""""","     30,020","=""20.0""","     27,170","=""18.0""","     32,248","=""21.0""","     32,768","=""21.0""","      1,496",          0,          0,"      1,494","      1,492","      1,492","      1,494","      1,492",          0,          0,"      1,494","      1,494","      1,494","      1,498","      1,496",          0,          0,"      1,494","      1,492","      1,494","      1,618","      1,386",          0,          0,"      1,494","      1,618","      1,494","      1,494",          0,          0,          0,"     30,020","     27,170","     32,248","     32,768","      1,496",          0,          0,"      1,494","      1,492","      1,492","      1,494","      1,492",          0,          0,"      1,494","      1,494","      1,494","      1,498","      1,496",          0,          0,"      1,494","      1,492","      1,494","      1,618","      1,386",          0,          0,"      1,494","      1,618","      1,494","      1,494",          0,          0,          0,1,01, 1.90,ÇsÇoÇRÇRÇQÉtÉ^ÉiÉV,   3.500
7,"=""90105-08A014""","=""""","="" B""","BOLT, FLANGE","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""0024""","=""ÅiäîÅjê¬éRêªçÏèä""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-331  ›÷≥""",      500,  1.08, 3.0,1,"=""06""",  5.76,"=""""","=""""","=""""","=""""","    565,945","=""20.0""","    512,585","=""18.0""","    608,020","=""21.0""","    625,630","=""21.0""","     28,235",          0,          0,"     28,230","     28,210","     28,220","     28,260","     28,180",          0,          0,"     28,100","     28,095","     28,105","     28,220","     28,115",          0,          0,"     28,135","     28,120","     28,230","     30,530","     26,100",          0,          0,"     28,155","     30,475","     28,100","     28,130",          0,          0,          0,"    565,945","    512,585","    608,020","    625,630","     28,235",          0,          0,"     28,230","     28,210","     28,220","     28,260","     28,180",          0,          0,"     28,100","     28,095","     28,105","     28,220","     28,115",          0,          0,"     28,135","     28,120","     28,230","     30,530","     26,100",          0,          0,"     28,155","     30,475","     28,100","     28,130",          0,          0,          0,1,01, 1.79,ÇsÇoÇRÇRÇPÉtÉ^ÉAÉä,   4.710
8,"=""90105-08A042""","=""""","="" D""","BOLT, FLANGE","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""0024""","=""ÅiäîÅjê¬éRêªçÏèä""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-331  ›÷≥""",      300,  1.07, 1.0,1,"=""06""",  5.76,"=""""","=""""","=""""","=""""","     34,455","=""20.0""","     30,815","=""18.0""","     36,940","=""21.0""","     29,730","=""21.0""","      1,685",          0,          0,"      1,650","      1,630","      1,620","      1,620","      1,660",          0,          0,"      1,780","      1,785","      1,775","      1,740","      1,805",          0,          0,"      1,745","      1,720","      1,650","      1,830","      1,620",          0,          0,"      1,725","      1,885","      1,780","      1,750",          0,          0,          0,"     34,455","     30,815","     36,940","     29,730","      1,685",          0,          0,"      1,650","      1,630","      1,620","      1,620","      1,660",          0,          0,"      1,780","      1,785","      1,775","      1,740","      1,805",          0,          0,"      1,745","      1,720","      1,650","      1,830","      1,620",          0,          0,"      1,725","      1,885","      1,780","      1,750",          0,          0,          0,1,01, 1.90,ÇsÇoÇRÇRÇQÉtÉ^ÉiÉV,   2.500
9,"=""90105-12A018""","=""""","=""""","BOLT, FLANGE","=""égópíÜ""","=""Ç©ÇÒÇŒÇÒ""","=""1Y""","=""ëÊÇPçHèÍ""","=""éËîz""","=""Ço""","=""0024""","=""ÅiäîÅjê¬éRêªçÏèä""","=""01""","=""""","=""Å\Å\""","=""Çl""","=""01""","=""ëÊÇP""","=""1Y""","=""à¿èÈëÊÇPçHèÍ""","=""TP-331  ›÷≥""",      200,  1.04, 3.0,1,"=""06""",  5.76,"=""""","=""""","=""""","=""""","    207,684","=""20.0""","    187,672","=""18.0""","    223,040","=""21.0""","    220,392","=""21.0""","     10,324",          0,          0,"     10,284","     10,256","     10,248","     10,260","     10,280",          0,          0,"     10,388","     10,392","     10,384","     10,380","     10,420",          0,          0,"     10,360","     10,328","     10,284","     11,172","      9,612",          0,          0,"     10,344","     11,216","     10,388","     10,364",          0,          0,          0,"    207,684","    187,672","    223,040","    220,392","     10,324",          0,          0,"     10,284","     10,256","     10,248","     10,260","     10,280",          0,          0,"     10,388","     10,392","     10,384","     10,380","     10,420",          0,          0,"     10,360","     10,328","     10,284","     11,172","      9,612",          0,          0,"     10,344","     11,216","     10,388","     10,364",          0,          0,          0,1,01, 1.79,ÇsÇoÇRÇRÇPÉtÉ^ÉAÉä,   5.700
