,Unnamed: 0,KUMI_CD,LINE_CD,LINE_SUB_CD,KANRIBAN_CD,LINE_DATE,TYOKU_KBN,OFFICE_HOURS,WORKING_HOURS,LINE_START_TIME,LINE_END_TIME,LINE_STOP_HOURS,MACHINE_STOP_HOURS,HINPATU_STOP_CNT,HINPATU_STOP_TIME,HURYOU_QUANT_CNT,HURYOU_WEIGHT_CNT,TENAOSHI_CNT,HORYUU_CNT,LAST_SERIAL_NO,OPERATION_RATE,SPEC_OPERATION_RATE,OVERALL_EQUIPMENT_EFFICIENCY,TARGET_AVAILABLE_RATE,AVAILABLE_HOURS,KAKO_CNT,AVAILABLE_RATE,HURYOU_RATE,CHOKO_RATE,KANKEN_NG_RATE,SYUTUKEN_NG_RATE,DIRECT_MANHOURS,TOTAL_MANHOURS,TOTAL_TIME,DIRECT_TIME,INDIRECT_TIME,NOTES,KANRIBAN_STAFF_CD,CREATE_STAFF_CD,CREATE_TIME,UPDATE_STAFF_CD,UPDATE_TIME,FIRST_SERIAL_NO,KANSEI_SHOUNIN_STAFF,AUTHOR,PDF_NAME,HUB_CD
0,339122,AI11,AS5210,A,M01,2023-12-04,1,750,0.0,2023/12/04 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/04 08:03:48,SYS_TT,2023/12/04 08:15:05,< NULL >,< NULL >,< NULL >,< NULL >,IA000
1,339123,AI11,AS5210,A,M01,2023-12-05,1,750,0.0,2023/12/05 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/05 08:03:57,SYS_TT,2023/12/05 08:15:20,< NULL >,< NULL >,< NULL >,< NULL >,IA000
2,339124,AI11,AS5210,A,M01,2023-12-06,1,750,0.0,2023/12/06 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/06 08:02:52,SYS_TT,2023/12/06 08:15:32,< NULL >,< NULL >,< NULL >,< NULL >,IA000
3,339125,AI11,AS5210,A,M01,2023-12-07,1,750,0.0,2023/12/07 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/07 08:02:52,SYS_TT,2023/12/07 08:15:07,< NULL >,< NULL >,< NULL >,< NULL >,IA000
4,339126,AI11,AS5210,A,M01,2023-12-08,1,750,0.0,2023/12/08 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/08 08:03:43,SYS_TT,2023/12/08 08:15:03,< NULL >,< NULL >,< NULL >,< NULL >,IA000
5,339127,AI11,AS5210,A,M01,2023-12-09,1,750,0.0,2023/12/09 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/09 08:03:51,SYS_TT,2023/12/09 08:15:04,< NULL >,< NULL >,< NULL >,< NULL >,IA000
6,339128,AI11,AS5210,A,M01,2023-12-10,2,690,0.0,2023/12/10 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/10 08:02:39,SYS_TT,2023/12/10 08:15:07,< NULL >,< NULL >,< NULL >,< NULL >,IA000
7,339129,AI11,AS5210,A,M01,2023-12-11,2,690,0.0,2023/12/11 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/11 08:04:33,SYS_TT,2023/12/11 08:15:10,< NULL >,< NULL >,< NULL >,< NULL >,IA000
8,339130,AI11,AS5210,A,M01,2023-12-12,2,690,0.0,2023/12/12 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/12 08:04:56,SYS_TT,2023/12/12 08:15:05,< NULL >,< NULL >,< NULL >,< NULL >,IA000
9,339131,AI11,AS5210,A,M01,2023-12-13,2,690,0.0,2023/12/13 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/13 08:03:50,SYS_TT,2023/12/13 08:15:15,< NULL >,< NULL >,< NULL >,< NULL >,IA000
