,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX
0,019128GA010    ,2023,50,26.0,78.0,80.0,石黒ゴム工業（株）,15.94,0.11,3.6,4.0,4.6850000000000005,5.015000000000001,1.07,1.140323488045007,1.0,"箱種類    TP-342 ﾊﾝﾖｳ
箱種類       Aﾊﾟﾚﾌﾀﾅｼ
Name: 33, dtype: object",1.0,24.0,19.68,50,50,77.76,3.49,0.3999999999999999,0.6850000000000005,0.33000000000000007,1.4150000000000005,0.29,1.3224299065420564,1.2408759574231907,18.929787476732137,1.27507520330612
1,01912ECB010    ,2023,50,7.0,26.0,27.0,石黒ゴム工業（株）,5.3133333333333335,0.13,3.6,4.0,5.21,5.59,0.85,1.0609828283420266,1.0,"箱種類    TP-332 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 34, dtype: object",1.0,6.0,4.92,300,17,25.913333333333334,3.47,0.3999999999999999,1.21,0.3799999999999999,1.9899999999999998,0.29,2.341176470588235,1.8756194227099103,13.352436501746414,0.48263683896752574
2,01912ECB040    ,2023,50,30.0,105.0,98.0,愛産樹脂工業（株）,19.925,0.26,4.41,4.41,5.83,6.05,0.25,0.3062587904360056,1.0,"箱種類    TP-342 ﾊﾝﾖｳ
箱種類    ＴＰ３３１．５フタナシ
Name: 32, dtype: object",1.0,1.0,3.05,40,65,78.5,4.15,0.0,1.42,0.21999999999999975,1.6399999999999997,0.0,6.559999999999999,5.354948335246842,3.7176448719736044,1.2175870775001592
3,01912ECB060    ,2023,50,1.0,4.0,1.0,新光ゴム工業（株）,0.8887499999999999,0.12,5.4,5.42,6.105,7.895,0.78,2.173121462777536,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 88, dtype: object",1.0,6.0,5.76,400,2,1.7774999999999999,5.28,0.019999999999999574,0.6850000000000005,1.7899999999999991,2.494999999999999,0.0,3.1987179487179476,1.1481180609256236,9.986767533018751,0.09823829237840744
4,1040043104R    ,2023,50,1.0,8.0,3.0,（株）ギフ加藤製作所,1.494,0.24,3.98,4.38,4.74,6.18,0.75,2.7486675549633577,3.0,"箱種類      AW-131 ｾﾝﾖｳ
箱種類    サンボックス＃９Ｆフタナシ
Name: 50, dtype: object",1.0,1.0,1.9,1000,5,5.98,3.74,0.3999999999999999,0.3600000000000003,1.4399999999999995,2.1999999999999997,0.12,2.933333333333333,0.8003878082772828,2.3080829063379955,0.25794583399682774
5,1040052001Z    ,2023,50,2.0,9.0,10.0,（株）青山製作所,1.96,0.32,1.205,1.4449999999999998,2.95,3.375,1.07,2.5480145338095825,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ１３１フタナシ
Name: 2, dtype: object",1.0,1.0,0.73,200,4,3.915,0.885,0.23999999999999977,1.5050000000000003,0.4249999999999998,2.17,0.08,2.02803738317757,0.8516434938679858,5.898313082458416,0.25137271236968733
6,1040183011P    ,2023,50,1.0,8.0,2.0,（株）青山製作所,2.136,0.3,1.18,1.57,1.76,2.36,1.04,1.5237227301310887,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ１３１フタナシ
Name: 3, dtype: object",1.0,1.0,0.73,500,9,10.661999999999999,0.8799999999999999,0.3900000000000001,0.18999999999999995,0.5999999999999999,1.18,0.08,1.1346153846153846,0.774419109635834,2.706154878656015,0.20206286468943713
7,2030044001J    ,2023,50,2.0,4.0,4.0,ＮＯＫ（株）,0.8887499999999999,0.23500000000000001,2.9,3.125,3.5300000000000002,4.535,0.58,1.7409345523146134,1.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類     テンバコ１０フタナシ
Name: 116, dtype: object",1.0,8.0,9.0,400,2,1.7774999999999999,2.665,0.2250000000000001,0.40500000000000025,1.005,1.6350000000000002,0.03,2.81896551724138,0.9391507554527132,18.002812939521803,0.11014220124509434
8,2030045013L    ,2023,50,2.0,3.0,4.0,伊藤金属工業（株）,0.9425,0.1,4.13,4.47,7.58,8.57,0.53,3.676385589554,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 43, dtype: object",1.0,6.0,4.92,2000,1,0.9425,4.03,0.33999999999999986,3.1100000000000003,0.9900000000000002,4.44,0.0,8.377358490566039,1.2077079217739612,21.506918058642196,0.09211866597300099
9,2030052002N    ,2023,50,3.0,12.0,12.0,（株）杉浦製作所,2.49,0.13,0.91,1.13,2.17,2.38,0.54,1.7392005329780147,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 89, dtype: object",1.0,6.0,5.76,300,9,9.966666666666667,0.78,0.21999999999999986,1.04,0.20999999999999996,1.4699999999999998,0.12,2.7222222222222214,0.8452159323358384,10.69366222285592,0.26706638259847726
