,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,使用工程,回収かんばん数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,納入数/日量数（箱数）,入庫数/納入数（箱数）,出庫数/入庫数（箱数）,回収数/出庫数（箱数）,回収数/納入数（箱数）,出庫数/納入数（箱数）,便Ave,年＆週番号
0,019128GA010    ,2023,50,26.0,78.0,80.0,石黒ゴム工業（株）,15.94,0.11,3.6,4.0,4.6850000000000005,5.015000000000001,1.07,1.140323488045007,1.0,"箱種類    TP-342 ﾊﾝﾖｳ
箱種類       Aﾊﾟﾚﾌﾀﾅｼ
Name: 33, dtype: object",1.0,24.0,19.68,50.0,50.0,77.76,3.49,0.3999999999999999,0.6850000000000005,0.33,1.4150000000000005,0.29,1.3224299065420564,1.240875957423191,18.929787476732137,1.27507520330612,100.0,390.0,8.ファイナル後半,86,0.0,0.0,0.5087719298245614,0.6430041152263374,1.56,1.0256410256410255,1.075,1.72,1.6,0.6641666666666667,2023-50
1,01912ECB010    ,2023,50,7.0,26.0,27.0,石黒ゴム工業（株）,5.3133333333333335,0.13,3.6,4.0,5.21,5.59,0.85,1.0609828283420266,1.0,"箱種類    TP-332 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 34, dtype: object",1.0,6.0,4.92,300.0,17.0,25.91333333333333,3.47,0.3999999999999999,1.21,0.3799999999999999,1.99,0.29,2.341176470588235,1.8756194227099103,13.352436501746414,0.4826368389675257,100.0,390.0,8.ファイナル後半,29,0.0,0.0,0.5263157894736843,0.656032930280422,1.5294117647058822,1.0384615384615385,1.0740740740740742,1.7058823529411764,1.588235294117647,0.8855555555555555,2023-50
2,01912ECB040    ,2023,50,30.0,105.0,98.0,愛産樹脂工業（株）,19.925,0.26,4.41,4.41,5.83,6.05,0.25,0.3062587904360056,1.0,"箱種類    TP-342 ﾊﾝﾖｳ
箱種類    ＴＰ３３１．５フタナシ
Name: 32, dtype: object",1.0,1.0,3.05,40.0,65.0,78.5,4.15,0.0,1.42,0.2199999999999997,1.6399999999999997,0.0,6.559999999999999,5.354948335246842,3.717644871973605,1.2175870775001592,100.0,390.0,8.ファイナル後半,107,0.0,0.0,0.4078947368421053,0.8280254777070064,1.6153846153846154,0.9333333333333333,1.0918367346938775,1.646153846153846,1.5076923076923077,19.925,2023-50
3,01912ECB060    ,2023,50,1.0,4.0,1.0,新光ゴム工業（株）,0.8887499999999999,0.12,5.4,5.42,6.105,7.895,0.78,2.173121462777536,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 88, dtype: object",1.0,6.0,5.76,400.0,2.0,1.7775,5.28,0.0199999999999995,0.6850000000000005,1.7899999999999991,2.494999999999999,0.0,3.198717948717948,1.1481180609256236,9.986767533018751,0.0982382923784074,100.0,390.0,8.ファイナル後半,4,0.0,0.0,1.0,1.1251758087201125,2.0,0.25,4.0,2.0,0.5,0.14812499999999998,2023-50
4,1040043104R    ,2023,50,1.0,8.0,3.0,（株）ギフ加藤製作所,1.494,0.24,3.98,4.38,4.74,6.18,0.75,2.7486675549633577,3.0,"箱種類      AW-131 ｾﾝﾖｳ
箱種類    サンボックス＃９Ｆフタナシ
Name: 50, dtype: object",1.0,1.0,1.9,1000.0,5.0,5.98,3.74,0.3999999999999999,0.3600000000000003,1.4399999999999995,2.2,0.12,2.933333333333333,0.8003878082772828,2.3080829063379955,0.2579458339968277,100.0,390.0,2.MGケース,8,0.0,0.0,1.6666666666666665,0.8361204013377925,1.6,0.375,2.6666666666666665,1.6,0.6,1.494,2023-50
5,1040052001Z    ,2023,50,2.0,9.0,10.0,（株）青山製作所,1.96,0.32,1.205,1.4449999999999998,2.95,3.375,1.07,2.5480145338095825,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ１３１フタナシ
Name: 2, dtype: object",1.0,1.0,0.73,200.0,4.0,3.915,0.885,0.2399999999999997,1.5050000000000003,0.4249999999999998,2.17,0.08,2.02803738317757,0.8516434938679858,5.898313082458416,0.2513727123696873,100.0,390.0,2.MGケース,9,0.0,0.0,0.8,1.0217113665389528,2.25,1.1111111111111112,0.9,2.25,2.5,1.96,2023-50
6,1040183011P    ,2023,50,1.0,8.0,2.0,（株）青山製作所,2.136,0.3,1.18,1.57,1.76,2.36,1.04,1.5237227301310887,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ１３１フタナシ
Name: 3, dtype: object",1.0,1.0,0.73,500.0,9.0,10.662,0.8799999999999999,0.3900000000000001,0.1899999999999999,0.5999999999999999,1.18,0.08,1.1346153846153846,0.774419109635834,2.706154878656015,0.2020628646894371,100.0,390.0,8.ファイナル後半,11,0.0,0.0,0.5714285714285714,0.8441193021947101,0.8888888888888888,0.25,5.5,1.2222222222222223,0.2222222222222222,2.136,2023-50
7,2030044001J    ,2023,50,2.0,4.0,4.0,ＮＯＫ（株）,0.8887499999999999,0.235,2.9,3.125,3.53,4.535,0.58,1.7409345523146134,1.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類     テンバコ１０フタナシ
Name: 116, dtype: object",1.0,8.0,9.0,400.0,2.0,1.7775,2.665,0.2250000000000001,0.4050000000000002,1.005,1.6350000000000002,0.03,2.81896551724138,0.9391507554527132,18.002812939521803,0.1101422012450943,100.0,390.0,4.TA・カバー・メイン,4,0.0,0.0,1.0,1.1251758087201125,2.0,1.0,1.0,2.0,2.0,0.11109374999999999,2023-50
8,2030045013L    ,2023,50,2.0,3.0,4.0,伊藤金属工業（株）,0.9425,0.1,4.13,4.47,7.58,8.57,0.53,3.676385589554,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 43, dtype: object",1.0,6.0,4.92,2000.0,1.0,0.9425,4.03,0.3399999999999998,3.1100000000000003,0.9900000000000002,4.44,0.0,8.377358490566039,1.2077079217739612,21.5069180586422,0.0921186659730009,100.0,390.0,3.ギヤサブ・共通部品,3,0.0,0.0,2.0,1.0610079575596818,3.0,1.3333333333333333,0.75,3.0,4.0,0.15708333333333332,2023-50
9,2030052002N    ,2023,50,3.0,12.0,12.0,（株）杉浦製作所,2.49,0.13,0.91,1.13,2.17,2.38,0.54,1.7392005329780147,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 89, dtype: object",1.0,6.0,5.76,300.0,9.0,9.966666666666669,0.78,0.2199999999999998,1.04,0.2099999999999999,1.4699999999999998,0.12,2.722222222222221,0.8452159323358384,10.69366222285592,0.2670663825984772,100.0,390.0,2.MGケース,13,0.0,0.0,0.625,0.9030100334448159,1.3333333333333333,1.0,1.0833333333333333,1.4444444444444444,1.3333333333333333,0.41500000000000004,2023-50
10,3040052001B    ,2023,50,2.0,27.0,23.0,（株）青山製作所,6.758,0.31,1.26,1.56,1.82,2.68,1.02,1.4601473026306138,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３２フタナシ
Name: 4, dtype: object",1.0,1.0,1.9,500.0,23.0,33.826,0.95,0.3,0.26,0.8600000000000001,1.4200000000000002,0.08,1.3921568627450982,0.9725046215828472,1.0205018828259738,0.2464146094381958,100.0,390.0,3.ギヤサブ・共通部品,34,0.0,0.0,0.3076923076923077,0.6799503340625555,1.173913043478261,0.8518518518518519,1.4782608695652173,1.4782608695652173,1.0,6.758,2023-50
11,33490ECB010    ,2023,50,33.0,398.0,411.0,マレリ（株）,89.0,0.32,4.09,4.41,4.56,4.73,0.82,0.8548280365694384,3.0,"箱種類      TP-332 ﾊﾝﾖｳ
箱種類    サンボックス＃９Ｆフタナシ
Name: 53, dtype: object",1.0,1.0,1.9,4.0,401.0,444.25,3.77,0.3200000000000003,0.1499999999999994,0.1700000000000008,0.6400000000000006,0.23,0.7804878048780495,0.7486885930513263,1.2785741960480437,0.3483637358639429,100.0,390.0,7.ファイナル前半,450,0.0,0.0,0.0948905109489051,0.9026449071468767,0.9925187032418953,1.0326633165829147,1.094890510948905,1.1221945137157108,1.0249376558603491,89.0,2023-50
12,33490ECE010    ,2023,50,65.0,453.0,456.0,マレリ（株）,97.75,0.32,4.09,4.26,5.0,5.165,0.81,0.8395602906761918,3.0,"箱種類    TP-332 ﾊﾝﾖｳ
箱種類      ＴＰ１３１フタナシ
Name: 54, dtype: object",1.0,1.0,1.74,4.0,422.0,490.25,3.77,0.1699999999999999,0.7400000000000002,0.165,1.0750000000000002,0.23,1.3271604938271606,1.2804321642394287,2.4268672876957824,0.6186683618625115,100.0,390.0,7.ファイナル前半,504,0.0,0.0,-0.06493506493506496,0.8607853136155023,1.0734597156398105,1.0066225165562914,1.105263157894737,1.1943127962085307,1.080568720379147,97.75,2023-50
13,34989ECB020    ,2023,50,6.0,7.0,8.0,（株）槌屋,1.594,0.26,4.5,4.84,6.18,7.31,0.81,1.5132348804500704,1.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタアリ
Name: 106, dtype: object",1.0,1.0,1.9,500.0,1.0,1.594,4.24,0.3399999999999998,1.34,1.13,2.81,0.0,3.469135802469135,1.8569490013105183,12.979708389218189,0.4094610510149115,100.0,390.0,8.ファイナル後半,6,0.0,0.0,0.0,0.6273525721455457,7.0,1.1428571428571428,0.75,6.0,8.0,1.594,2023-50
155,34989ECB030    ,2023,50,,,,（株）槌屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,,,,,,,2023-50
156,34989ECC010    ,2023,50,,,,（株）槌屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,,,,,,,2023-50
158,34989ECE020    ,2023,50,,,,（株）槌屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,,,,,,,2023-50
14,35141ECB010    ,2023,50,12.0,95.0,104.0,（株）アイシン福井,22.1875,0.26,1.0,0.98,1.5,1.67,0.62,0.7593121462777536,3.0,"箱種類          Aﾊﾟﾚ ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 84, dtype: object",1.0,4.0,4.0,16.0,89.0,111.0625,0.74,-0.02,0.52,0.1699999999999999,0.6699999999999999,,1.0806451612903225,0.8823775614342885,4.326760563380281,1.0925966000625165,100.0,390.0,,114,0.0,0.0,0.19999999999999996,0.8013505908835116,1.0674157303370786,1.0947368421052632,1.0961538461538463,1.2808988764044944,1.1685393258426966,5.546875,2023-50
