,品番,加工図符号,類別,品名,整備室,整備室名,手配区分,工程内外製,工程ｺｰﾄﾞ,仕入先名/工場名,発送場所,発送場所名,受給区分,資材区分,後工程内外製,後工程ｺｰﾄﾞ,後工程仕入先名/工場名,受入場所,受入場所名,中継区分,中継工場,中継場所,中継場所名,納入ｻｲｸﾙ間隔,納入ｻｲｸﾙ回数,納入ｻｲｸﾙ情報,基準在庫日数,基準在庫.枚数,MIN在庫日数,MAX在庫日数,便平均上限振れ率,便平均下限振れ率,かんばん情報.仕入先,かんばん情報.仕入先名,かんばん情報.背番号,かんばん情報.工場置場所,かんばん情報.拠点置場所,かんばん情報.品名略ｺｰﾄﾞ,かんばん情報.品名略名,かんばん情報.通箱ｺｰﾄﾞ,かんばん情報.通箱名,かんばん情報.収容数,かんばん情報.ｺﾝﾍﾞｱ区分,かんばん情報.ﾌﾞﾛｯｸ区分,かんばん情報.専用品区分,かんばん情報.不良率,かんばん情報.保証率,かんばん情報.設変符号,かんばん情報.部品大別区分,かんばん情報.部品大別名称,かんばん情報.発注形態区分,かんばん情報.発注形態名称,かんばん情報.PLコード,登録箱種,縦(mm),横(mm),高(mm),容積(m3),総重量(Kg),パレタイズ発注,箱数,設定計画NO,設定日,設定担当部署コード,担当部署名,設定担当者コード,担当者名,選択品,通常品,不当ピッチ
0,35300-ECB010,,,"PUMP ASSY, OIL W/MOTOR",1Y,第１工場,手配,Ｐ,1,アイシン精機（株）,12,半田工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,4,8.04,0.7,3,1.12,1.12,1.1,0.5,1,アイシン精機（株）,1,M-MG-22,40428,69,ﾃﾞﾝﾄﾞｳｵｲﾙﾎﾟﾝﾌﾟ,60,TP-341 ﾊﾝﾖｳ,12,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３４１フタナシ,335,503,103,0.017,6.97,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.14
1,35580-6GA020,,,"ACTUATOR ASSY, SHIFT CONTROL",1Y,第１工場,手配,Ｐ,1,アイシン精機（株）,12,半田工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,4,8.04,0.7,3,1.12,1.12,1.1,0.5,1,アイシン精機（株）,4,,,42,"ACTUATOR ASSY, SHIFT CONTROL",19,TP-342 ｾﾝﾖｳ,6,,,,0,0.5,,,,,,,ＴＰ３４２フタアリ,503,335,216,0.036,10.68,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,
2,35580-ECB010,,,"ACTUATOR ASSY, SHIFT CONTROL",1Y,第１工場,手配,Ｐ,1,アイシン精機（株）,12,半田工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,4,8.04,0.7,3,1.12,1.12,1.1,0.5,1,アイシン精機（株）,2,I1-12,50485,42,"ｱｷｭｴｰﾀｰASSY,ｼﾌﾄｺﾝﾄﾛｰﾙ",19,TP-342 ｾﾝﾖｳ,6,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３４２フタアリ,503,335,216,0.036,10.68,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.14
3,35580-ECB011,,,"ACTUATOR ASSY, SHIFT CONTROL",1Y,第１工場,手配,Ｐ,1,アイシン精機（株）,12,半田工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,4,8.04,0.7,3,1.12,1.12,1.1,0.5,1,アイシン精機（株）,3,I1-12,50501,42,"ｱｷｭｴｰﾀｰASSY,ｼﾌﾄ ｺﾝﾄﾛｰﾙ",19,TP-342 ｾﾝﾖｳ,6,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３４２フタアリ,503,335,216,0.036,10.68,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,
4,1040 052 001Z,,,"PLUG, W/HEAD STRAIGHT SCREW",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,27,R-3-1,10373,722,ﾌﾟﾗｸﾞ ｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-,12,TP-131 ﾊﾝﾖｳ,200,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ１３１フタナシ,335,168,103,0.006,6.27,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
5,1040 183 011P,,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,3,I1-11,20369,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,500,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３３１フタナシ,335,335,103,0.012,9.38,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
6,3040 052 001B,,,"PLUG, W/HEAD STRAIGHT SCREW",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,4,R-6-1,20379,521,ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-,14,TP-331 ﾊﾝﾖｳ,500,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３３１フタナシ,335,335,103,0.012,11.97,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
7,90105-06A003,,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,5,M-MG-2,20366,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,2000,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３３１フタナシ,335,335,103,0.012,12.63,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
8,90105-06A089,,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,6,M-MG-6,20387,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,1500,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３３１フタナシ,335,335,103,0.012,10.13,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
9,90105-08A014,,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,7,M-4,20380,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,500,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３３１フタナシ,335,335,103,0.012,8.83,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
10,90105-08A042,,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,8,M-6,20368,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,300,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３３１フタナシ,335,335,103,0.012,10.22,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
11,90105-12A018,,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,9,S-G-30,20389,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,200,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３３１フタナシ,335,335,103,0.012,9.85,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
12,90119-06908,,,"BOLT, W/WASHER",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,10,M-MG-4,20388,1835,ﾎﾞﾙﾄｳｲｽﾞﾜﾂｼﾔ,14,TP-331 ﾊﾝﾖｳ,2000,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３３１フタナシ,335,335,103,0.012,15.83,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
13,90119-06A065,,,"BOLT, FLANGE W/WASHER",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,11,M-ST-9,20375,1843,"ﾎﾞﾙﾄ,ﾌﾗﾝｼﾞW/ﾜｯｼｬ",14,TP-331 ﾊﾝﾖｳ,1000,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３３１フタナシ,335,335,103,0.012,11.83,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
14,90148-60027,,,"SCREW, HEX LOBULAR",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,12,M-C-2-3,20367,2384,ｽｸﾘﾕ-,14,TP-331 ﾊﾝﾖｳ,2000,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３３１フタナシ,335,335,103,0.012,13.63,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
15,90149-08A008,,,SCREW,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,13,C1-3,20382,2394,ｽｸﾘﾕ-,14,TP-331 ﾊﾝﾖｳ,800,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３３１フタナシ,335,335,103,0.012,10.59,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
16,90159-05A007,,,"SCREW, W/WASHER",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,14,C1-23,20385,2386,ｽｸﾘｭｰW/ﾜｯｼｬｰ,14,TP-331 ﾊﾝﾖｳ,2000,,,,0,0.5,,8.0,専用,1.0,後補充,,ＴＰ３３１フタナシ,335,335,103,0.012,9.43,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,0.08
17,90159-06A017,,,"SCREW, W/WASHER",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.53,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,29,,,1830,ﾎﾞﾙﾄ,14,TP-331 ﾊﾝﾖｳ,1000,,,,0,0.5,,,,,,,ＴＰ３３１フタナシ,335,335,103,0.012,7.83,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花,,,
