,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX
0,019128GA010    ,2023,49,26.0,0.0,0.0,石黒ゴム工業（株）,17.33,0.32,1.94,2.19,4.24,4.96,1.07,1.2363524453809471,3,Aﾊﾟﾚﾌﾀﾅｼ,1,24,19.68,76,1.6199999999999999,0.25,2.0500000000000003,0.7199999999999998,3.02,0.29,2.8224299065420557,2.442669168717074,17.41147215113158,1.3684170565322022
1,01912ECB010    ,2023,49,7.0,0.0,0.0,石黒ゴム工業（株）,5.586666666666667,0.11,1.94,2.24,5.23,5.49,1.07,1.5690573361428413,3,Aﾊﾟﾚﾌﾀﾅｼ,1,24,19.68,25,1.8299999999999998,0.30000000000000027,2.99,0.2599999999999998,3.5500000000000003,0.29,3.3177570093457946,2.262504956464396,14.54139218827179,0.4650080357232828
2,01912ECB040    ,2023,49,30.0,0.0,0.0,愛産樹脂工業（株）,20.95,0.0,4.39,4.390000000000001,6.57,6.975,0.67,0.8030819563047578,3,Aﾊﾟﾚﾌﾀﾅｼ,1,24,19.68,80,4.39,8.881784197001252e-16,2.1799999999999997,0.40499999999999936,2.585,0.0,3.8582089552238803,3.2188495578887477,16.618733929453473,1.6181971145041771
3,01912ECB060    ,2023,49,1.0,0.0,0.0,新光ゴム工業（株）,0.87,0.12,5.905,5.365,7.279999999999999,10.030000000000001,0.78,3.982134756504336,3,TP342ﾌﾀﾅｼ,1,2,3.64,4,5.785,-0.54,1.9149999999999991,2.7500000000000018,4.125000000000001,0.0,5.288461538461539,1.0358765466844917,4.954419342053111,0.18406310439022608
4,1040043104R    ,2023,49,3.0,0.0,0.0,（株）ギフ加藤製作所,1.676,0.185,2.045,2.515,7.085,8.695,0.9,2.563524453809471,3,ＴＰ３３１．５フタアリ,1,2,3.92,6,1.8599999999999999,0.4700000000000002,4.57,1.6100000000000003,6.65,0.12,7.388888888888889,2.5940848701942003,7.276325746551022,0.3659372999081052
5,1040052001Z    ,2023,49,5.0,0.0,0.0,（株）青山製作所,2.51,0.315,1.245,1.46,6.279999999999999,6.4399999999999995,0.74,1.8786279533162535,3,ＴＰ３３１フタアリ,1,1,1.79,10,0.9300000000000002,0.21499999999999986,4.819999999999999,0.16000000000000014,5.194999999999999,0.08,7.020270270270269,2.765316033347375,7.139899184623514,0.5114880636143114
6,1040183011P    ,2023,49,2.0,0.0,0.0,（株）青山製作所,2.16,0.29,1.21,1.42,1.87,2.76,0.74,2.07422281521014,3,ＴＰ３３２フタナシ,1,1,1.9,9,0.9199999999999999,0.20999999999999996,0.4500000000000002,0.8899999999999997,1.5499999999999998,0.08,2.0945945945945943,0.7472678386497108,3.192848020434227,0.366243483157945
7,2030044001J    ,2023,49,2.0,0.0,0.0,ＮＯＫ（株）,0.42,0.155,1.9449999999999998,2.145,7.074999999999999,7.279999999999999,0.8,4.002134756504336,3,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,1,8,9.0,4,1.7899999999999998,0.20000000000000018,4.93,0.20500000000000007,5.334999999999999,0.03,6.668749999999998,1.3330385718095743,38.095238095238095,0.0523989028667814
8,2030045013L    ,2023,49,2.0,0.0,0.0,伊藤金属工業（株）,1.1625,0.11,2.14,2.47,6.255,7.47,0.84,3.4147205355418717,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,4,2.0300000000000002,0.33000000000000007,3.7849999999999997,1.2149999999999999,5.33,0.0,6.345238095238096,1.5608890814118113,13.763440860215052,0.14172143927264902
9,2030052002N    ,2023,49,3.0,0.0,0.0,（株）杉浦製作所,2.9833333333333334,0.14,0.86,1.03,2.9,4.72,0.77,1.7681146722856824,3,ＴＰ３３１フタナシ,1,6,5.76,11,0.72,0.17000000000000004,1.8699999999999999,1.8199999999999998,3.86,0.12,5.012987012987013,2.183116321867342,8.925324782651813,0.31342350000708996
10,3040052001B    ,2023,49,4.0,0.0,0.0,（株）青山製作所,7.969,0.32,1.26,1.64,3.515,4.0600000000000005,0.74,1.1028666465074086,3,ＴＰ３３１フタアリ,1,1,1.79,30,0.94,0.3799999999999999,1.8750000000000002,0.5450000000000004,2.8000000000000007,0.08,3.7837837837837847,2.538838225697663,1.79908615418798,0.3934476737538821
11,33490ECB010    ,2023,49,33.0,0.0,0.0,マレリ（株）,84.0,0.31,4.11,4.38,4.46,4.73,1.02,1.0520213475650433,3,ＴＰ３３１．５フタアリ,1,2,3.92,413,3.8000000000000003,0.2699999999999996,0.08000000000000007,0.27000000000000046,0.6200000000000001,0.23,0.607843137254902,0.5893416530330126,1.5969802555168409,0.6904201860365657
12,33490ECE010    ,2023,49,65.0,0.0,0.0,マレリ（株）,133.75,0.31,4.11,4.39,4.96,5.145,1.02,1.042772559066325,3,ＴＰ３３１．５フタアリ,1,2,3.92,540,3.8000000000000003,0.27999999999999936,0.5700000000000003,0.1849999999999996,1.0349999999999993,0.23,1.0147058823529405,0.9925462566129616,1.9755337740293293,0.860493671233836
